timestamp;total;ASH_COATED_OSMIUM;INTARIAN_PEPPER_ROOT
0;-58.5;0.0;-58.5
100;-101.0;0.0;-101.0
200;-81.0;0.0;-81.0
300;9.0;0.0;9.0
400;-215.0;0.0;-215.0
500;-233.0;0.0;-233.0
600;-167.0;0.0;-167.0
700;-242.0;57.0;-299.0
800;-289.0;66.0;-355.0
900;-272.0;27.0;-299.0
1000;-265.5;51.0;-316.5
1100;-99.0;60.0;-159.0
1200;-240.0;108.0;-348.0
1300;-184.5;69.0;-253.5
1400;-193.5;60.0;-253.5
1500;-187.5;66.0;-253.5
1600;-350.5;18.0;-368.5
1700;-233.0;64.5;-297.5
1800;-240.5;57.0;-297.5
1900;-134.0;57.0;-191.0
2000;-280.5;52.5;-333.0
2100;-98.5;57.0;-155.5
2200;-276.0;57.0;-333.0
2300;-265.5;67.5;-333.0
2400;-171.0;55.5;-226.5
2500;-152.5;123.5;-276.0
2600;-240.0;116.0;-356.0
2700;-45.0;111.0;-156.0
2800;-160.0;116.0;-276.0
2900;-160.0;116.0;-276.0
3000;-115.0;121.0;-236.0
3100;-5.0;111.0;-116.0
3200;-130.0;106.0;-236.0
3300;-85.0;111.0;-196.0
3400;-85.0;111.0;-196.0
3500;42.5;118.5;-76.0
3600;-85.0;111.0;-196.0
3700;-75.0;121.0;-196.0
3800;40.0;116.0;-76.0
3900;-80.0;116.0;-196.0
4000;315.0;111.0;204.0
4100;-442.5;113.5;-556.0
4200;-47.5;108.5;-156.0
4300;425.0;101.0;324.0
4400;-135.0;101.0;-236.0
4500;-10.0;106.0;-116.0
4600;-17.5;98.5;-116.0
4700;70.0;66.0;4.0
4800;10.0;126.0;-116.0
4900;-90.0;106.0;-196.0
5000;30.0;106.0;-76.0
5100;-90.0;106.0;-196.0
5200;-282.5;113.5;-396.0
5300;60.0;96.0;-36.0
5400;77.5;113.5;-36.0
5500;-45.0;111.0;-156.0
5600;115.0;151.0;-36.0
5700;75.0;111.0;-36.0
5800;-377.5;98.5;-476.0
5900;67.5;103.5;-36.0
6000;50.0;126.0;-76.0
6100;206.0;162.0;44.0
6200;206.0;162.0;44.0
6300;219.0;175.0;44.0
6400;219.0;175.0;44.0
6500;362.0;318.0;44.0
6600;139.0;175.0;-36.0
6700;659.0;175.0;484.0
6800;219.0;175.0;44.0
6900;212.5;168.5;44.0
7000;272.0;188.0;84.0
7100;312.0;188.0;124.0
7200;318.5;194.5;124.0
7300;299.0;175.0;124.0
7400;379.0;175.0;204.0
7500;726.0;162.0;564.0
7600;273.0;149.0;124.0
7700;305.5;181.5;124.0
7800;240.5;116.5;124.0
7900;299.0;175.0;124.0
8000;733.5;89.5;644.0
8100;250.0;166.0;84.0
8200;378.5;174.5;204.0
8300;353.0;149.0;204.0
8400;370.0;166.0;204.0
8500;370.0;166.0;204.0
8600;507.0;183.0;324.0
8700;370.0;166.0;204.0
8800;370.0;166.0;204.0
8900;319.0;115.0;204.0
9000;-87.0;149.0;-236.0
9100;424.5;140.5;284.0
9200;513.0;149.0;364.0
9300;433.0;149.0;284.0
9400;1.5;157.5;-156.0
9500;296.0;132.0;164.0
9600;336.0;132.0;204.0
9700;399.0;115.0;284.0
9800;399.0;115.0;284.0
9900;839.0;115.0;724.0
10000;464.5;140.5;324.0
10100;479.0;115.0;364.0
10200;479.0;115.0;364.0
10300;542.0;98.0;444.0
10400;531.0;47.0;484.0
10500;765.0;81.0;684.0
10600;436.5;72.5;364.0
10700;496.0;132.0;364.0
10800;599.0;115.0;484.0
10900;565.0;81.0;484.0
11000;502.0;98.0;404.0
11100;542.0;98.0;444.0
11200;542.0;98.0;444.0
11300;199.0;115.0;84.0
11400;639.0;115.0;524.0
11500;525.0;81.0;444.0
11600;499.5;55.5;444.0
11700;423.0;-21.0;444.0
11800;559.0;115.0;444.0
11900;679.0;115.0;564.0
12000;624.5;140.5;484.0
12100;630.5;106.5;524.0
12200;639.0;115.0;524.0
12300;639.0;115.0;524.0
12400;458.0;54.0;404.0
12500;1046.5;82.5;964.0
12600;606.5;82.5;524.0
12700;1075.0;111.0;964.0
12800;616.0;92.0;524.0
12900;688.0;244.0;444.0
13000;656.0;92.0;564.0
13100;648.5;44.5;604.0
13200;795.0;111.0;684.0
13300;696.0;92.0;604.0
13400;595.0;111.0;484.0
13500;696.0;92.0;604.0
13600;696.0;92.0;604.0
13700;696.0;92.0;604.0
13800;724.5;120.5;604.0
13900;616.0;92.0;524.0
14000;816.0;92.0;724.0
14100;738.0;54.0;684.0
14200;776.0;92.0;684.0
14300;776.0;92.0;684.0
14400;736.0;92.0;644.0
14500;744.0;-60.0;804.0
14600;757.0;73.0;684.0
14700;507.0;263.0;244.0
14800;795.0;111.0;684.0
14900;943.5;139.5;804.0
15000;856.0;132.0;724.0
15100;931.0;167.0;764.0
15200;958.0;194.0;764.0
15300;558.5;234.5;324.0
15400;958.0;194.0;764.0
15500;958.0;194.0;764.0
15600;985.0;221.0;764.0
15700;985.0;221.0;764.0
15800;985.0;221.0;764.0
15900;1102.0;338.0;764.0
16000;999.0;275.0;724.0
16100;1155.0;311.0;844.0
16200;1035.0;311.0;724.0
16300;1155.0;311.0;844.0
16400;1053.0;329.0;724.0
16500;1155.0;311.0;844.0
16600;1146.0;302.0;844.0
16700;1577.0;293.0;1284.0
16800;1137.0;293.0;844.0
16900;1164.0;320.0;844.0
