rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
1,TradervR1_lab_r04_01_a_local_fair_blend,TradervR1_lab_r03_08_a_attack_tuning_a_quality_guard_p_entry_quality,ash_local_fair_blend,292738.0,4695.5,2893.5,1335.5,446.5,5127.205,7692.2633,97465.0,17821.0,79644.0,706,97999.0,18631.0,79368.0,704,97274.0,17886.0,79388.0,679,4773.3333,4433.75,1.0,4773.3333,4433.75
2,TradervR1_lab_r04_01_a_local_fair_blend_cmaes_ash_local_fair_blend,TradervR1_lab_r04_01_a_local_fair_blend,"ash_local_fair_blend,cmaes_refine",292738.0,4695.5,2893.5,1335.5,446.5,5127.205,6231.3122,97465.0,17821.0,79644.0,706,97999.0,18631.0,79368.0,704,97274.0,17886.0,79388.0,679,2963.4167,-788.75,0.8333,2963.4167,-788.75
3,TradervR1_lab_r05_03_a_local_fair_blend,TradervR1_lab_r04_01_a_local_fair_blend_best,ash_local_fair_blend,292274.5,4232.0,2430.0,1067.0,635.0,4554.65,5159.0972,97196.5,17552.5,79644.0,734,97919.0,18551.0,79368.0,724,97159.0,17771.0,79388.0,700,2328.1667,-2542.75,0.8333,2328.1667,-2542.75
4,TradervR1_lab_r08_07_p_entry_quality_a_quality_guard,TradervR1_lab_r07_02_p_entry_quality,"pepper_entry_quality,ash_quality_guard",289823.5,1781.0,-21.0,463.0,303.0,1918.81,4097.945,96681.5,17013.5,79668.0,830,96680.0,17371.0,79309.0,813,96462.0,17051.0,79411.0,789,4320.75,2982.25,1.0,4320.75,2982.25
5,TradervR1_lab_r07_03_p_entry_quality_a_local_fair_blend,TradervR1_47,"pepper_entry_quality,ash_local_fair_blend",290897.5,2855.0,1053.0,802.0,238.0,3116.66,3416.8595,96931.5,17287.5,79644.0,788,97257.0,17889.0,79368.0,755,96709.0,17312.0,79397.0,737,1518.25,-2360.25,0.6667,1518.25,-2360.25
6,TradervR1_lab_r10_08_a_quality_guard_p_entry_quality_cmaes_ash_quality_guard,TradervR1_lab_r10_08_a_quality_guard_p_entry_quality,"ash_quality_guard,cmaes_refine",290302.0,2259.5,457.5,501.5,438.5,2399.945,3105.1905,96631.0,16994.0,79637.0,830,97157.0,17789.0,79368.0,817,96514.0,17117.0,79397.0,792,1553.0,392.0,0.8333,1553.0,392.0
7,TradervR1_lab_r18_04_p_carry_defense,TradervR1_47,pepper_carry_defense,289781.5,1739.0,-63.0,461.0,289.0,1877.23,3029.0517,96657.5,17013.5,79644.0,830,96678.0,17371.0,79307.0,813,96446.0,17051.0,79395.0,788,2192.4167,1749.25,1.0,2192.4167,1749.25
8,TradervR1_lab_r08_07_p_entry_quality_a_quality_guard_cmaes_pepper_entry_quality,TradervR1_lab_r08_07_p_entry_quality_a_quality_guard,"pepper_entry_quality,cmaes_refine",289823.5,1781.0,-21.0,463.0,303.0,1918.81,2866.0722,96681.5,17013.5,79668.0,830,96680.0,17371.0,79309.0,813,96462.0,17051.0,79411.0,789,2830.9167,-1518.5,0.8333,2830.9167,-1518.5
9,TradervR1_lab_r10_08_a_quality_guard_p_entry_quality,TradervR1_47,"ash_quality_guard,pepper_entry_quality",290302.0,2259.5,457.5,501.5,438.5,2399.945,2733.0272,96631.0,16994.0,79637.0,830,97157.0,17789.0,79368.0,817,96514.0,17117.0,79397.0,792,1070.4167,-887.5,0.8333,1070.4167,-887.5
10,TradervR1_lab_r17_05_a_local_fair_blend,TradervR1_lab_r16_08_a_local_fair_blend_a_quality_guard,ash_local_fair_blend,289890.0,1847.5,45.5,325.5,559.5,1916.665,2705.7705,96455.0,16811.0,79644.0,844,97102.0,17734.0,79368.0,835,96333.0,16936.0,79397.0,807,2186.5,-819.0,0.8333,2186.5,-819.0
11,TradervR1_lab_r11_02_p_entry_quality_p_carry_defense_a_attack_tuning,TradervR1_lab_r10_02_a_quality_guard_p_entry_quality,"pepper_entry_quality,pepper_carry_defense,ash_attack_tuning",289394.5,1352.0,-450.0,349.0,283.0,1451.51,2620.5317,96500.5,16857.5,79643.0,822,96566.0,17198.0,79368.0,815,96328.0,16946.0,79382.0,786,2444.4167,1373.25,1.0,2444.4167,1373.25
12,TradervR1_lab_r02_08_p_carry_defense,TradervR1_47,pepper_carry_defense,289800.5,1758.0,-44.0,487.0,263.0,1907.41,2536.7638,96650.5,17013.5,79637.0,830,96704.0,17371.0,79333.0,814,96446.0,17051.0,79395.0,788,1780.0833,-773.75,0.8333,1780.0833,-773.75
13,TradervR1_lab_r03_08_a_attack_tuning_a_quality_guard_p_entry_quality,TradervR1_47,"ash_attack_tuning,ash_quality_guard,pepper_entry_quality",290379.0,2336.5,534.5,521.5,484.5,2480.265,2384.3662,96651.0,17007.0,79644.0,829,97223.0,17855.0,79368.0,814,96505.0,17117.0,79388.0,791,568.1667,-2475.0,0.6667,568.1667,-2475.0
14,TradervR1_lab_r07_05_a_quality_guard_a_local_fair_blend_a_attack_tuning,TradervR1_47,"ash_quality_guard,ash_local_fair_blend,ash_attack_tuning",290524.0,2481.5,679.5,564.5,442.5,2643.675,2357.4062,96694.0,17050.0,79644.0,829,97127.0,17759.0,79368.0,802,96703.0,17306.0,79397.0,793,969.1667,-4980.5,0.6667,969.1667,-4980.5
15,TradervR1_lab_r12_06_a_local_fair_blend_a_attack_tuning,TradervR1_47_2,"ash_local_fair_blend,ash_attack_tuning",289878.0,1835.5,33.5,417.5,342.5,1954.225,2247.6712,96547.0,16903.0,79644.0,790,96977.0,17609.0,79368.0,772,96354.0,16957.0,79397.0,755,1087.6667,-1178.25,0.6667,1087.6667,-1178.25
16,TradervR1_lab_r16_07_p_carry_defense,TradervR1_47,pepper_carry_defense,289836.5,1794.0,-8.0,522.0,223.0,1958.86,2196.9322,96656.5,17013.5,79643.0,831,96739.0,17371.0,79368.0,814,96441.0,17051.0,79390.0,789,866.1667,-978.0,0.8333,866.1667,-978.0
17,TradervR1_lab_r02_03_a_attack_tuning_a_quality_guard,TradervR1_lab_r01_06_p_entry_quality,"ash_attack_tuning,ash_quality_guard",290014.5,1972.0,170.0,406.0,390.0,2082.9,2119.2228,96535.5,16898.5,79637.0,827,97013.0,17645.0,79368.0,812,96466.0,17076.0,79390.0,791,992.0833,-2741.75,0.6667,992.0833,-2741.75
18,TradervR1_lab_r05_01_p_carry_defense,TradervR1_47,pepper_carry_defense,289832.5,1790.0,-12.0,479.0,287.0,1934.69,2117.8905,96674.5,17013.5,79661.0,830,96696.0,17371.0,79325.0,814,96462.0,17051.0,79411.0,789,902.25,-1470.75,0.8333,902.25,-1470.75
19,TradervR1_lab_r18_05_a_attack_tuning,TradervR1_lab_r17_05_a_local_fair_blend,ash_attack_tuning,289879.0,1836.5,34.5,268.5,637.5,1879.475,2024.9872,96398.0,16754.0,79644.0,842,97123.0,17755.0,79368.0,832,96358.0,16961.0,79397.0,809,1040.9167,-2143.0,0.8333,1040.9167,-2143.0
20,TradervR1_lab_r18_07_a_quality_guard,TradervR1_47,ash_quality_guard,290021.5,1979.0,177.0,441.0,339.0,2106.23,2019.7278,96570.5,16926.5,79644.0,829,96975.0,17607.0,79368.0,811,96476.0,17079.0,79397.0,791,794.8333,-3055.5,0.6667,794.8333,-3055.5
21,TradervR1_lab_r07_02_p_entry_quality,TradervR1_lab_r06_06_p_carry_defense_best,pepper_entry_quality,289816.5,1774.0,-28.0,463.0,303.0,1911.81,1911.81,96674.5,17013.5,79661.0,830,96680.0,17371.0,79309.0,813,96462.0,17051.0,79411.0,789,,,,,
22,TradervR1_lab_r12_04_p_entry_quality,TradervR1_lab_r11_01_a_quality_guard,pepper_entry_quality,289777.5,1735.0,-67.0,490.0,233.0,1887.86,1887.86,96619.5,16982.5,79637.0,827,96739.0,17371.0,79368.0,814,96419.0,17022.0,79397.0,790,,,,,
23,TradervR1_lab_r12_06_a_local_fair_blend_a_attack_tuning_cmaes_ash_local_fair_blend,TradervR1_lab_r12_06_a_local_fair_blend_a_attack_tuning,"ash_local_fair_blend,cmaes_refine",289878.0,1835.5,33.5,417.5,342.5,1954.225,1861.8805,96547.0,16903.0,79644.0,790,96977.0,17609.0,79368.0,772,96354.0,16957.0,79397.0,755,577.0,-2516.5,0.8333,577.0,-2516.5
24,TradervR1_lab_r07_01_a_quality_guard,TradervR1_lab_r06_06_p_carry_defense,ash_quality_guard,289947.5,1905.0,103.0,448.0,330.0,2035.4,1861.8788,96577.5,16926.5,79651.0,829,96896.0,17607.0,79289.0,810,96474.0,17079.0,79395.0,790,360.5833,-2478.0,0.8333,360.5833,-2478.0
25,TradervR1_lab_r01_06_p_entry_quality,TradervR1_47,pepper_entry_quality,289830.5,1788.0,-14.0,521.0,224.0,1952.43,1829.9495,96650.5,17013.5,79637.0,830,96739.0,17371.0,79368.0,814,96441.0,17051.0,79390.0,789,430.75,-2264.25,0.6667,430.75,-2264.25
26,TradervR1_lab_r18_04_p_carry_defense_cmaes_pepper_carry_defense,TradervR1_lab_r18_04_p_carry_defense,"pepper_carry_defense,cmaes_refine",289781.5,1739.0,-63.0,461.0,289.0,1877.23,1824.6545,96657.5,17013.5,79644.0,830,96678.0,17371.0,79307.0,813,96446.0,17051.0,79395.0,788,556.25,-2095.5,0.6667,556.25,-2095.5
27,TradervR1_lab_r11_04_p_carry_defense_p_entry_quality,TradervR1_47,"pepper_carry_defense,pepper_entry_quality",289836.5,1794.0,-8.0,522.0,223.0,1958.86,1801.5238,96656.5,17013.5,79643.0,831,96739.0,17371.0,79368.0,814,96441.0,17051.0,79390.0,789,443.3333,-2594.25,0.8333,443.3333,-2594.25
28,TradervR1_lab_r15_02_a_quality_guard_a_local_fair_blend,TradervR1_47,"ash_quality_guard,ash_local_fair_blend",290392.0,2349.5,547.5,703.5,168.5,2582.245,1758.5928,96833.0,17189.0,79644.0,689,96991.0,17623.0,79368.0,676,96568.0,17171.0,79397.0,669,-375.1667,-4978.0,0.6667,-375.1667,-4978.0
29,TradervR1_lab_r02_04_a_local_fair_blend,TradervR1_47_2,ash_local_fair_blend,289699.5,1657.0,-145.0,364.0,359.0,1755.68,1755.68,96493.5,16849.5,79644.0,790,96940.0,17572.0,79368.0,776,96266.0,16869.0,79397.0,756,,,,,
30,TradervR1_lab_r18_03_a_attack_tuning_a_quality_guard,TradervR1_lab_r17_05_a_local_fair_blend,"ash_attack_tuning,ash_quality_guard",289699.0,1656.5,-145.5,284.5,450.5,1720.035,1720.035,96414.0,16770.0,79644.0,839,96952.0,17584.0,79368.0,831,96333.0,16936.0,79397.0,809,,,,,
31,TradervR1_lab_r12_01_a_quality_guard,TradervR1_lab_r11_01_a_quality_guard,ash_quality_guard,289784.5,1742.0,-60.0,497.0,226.0,1897.87,1638.0072,96626.5,16982.5,79644.0,827,96739.0,17371.0,79368.0,814,96419.0,17022.0,79397.0,790,591.1667,-3719.25,0.8333,591.1667,-3719.25
32,TradervR1_lab_r13_03_p_carry_defense_p_entry_quality,TradervR1_47_2,"pepper_carry_defense,pepper_entry_quality",289295.5,1253.0,-549.0,216.0,345.0,1301.0,1635.0155,96345.5,16701.5,79644.0,821,96693.0,17386.0,79307.0,800,96257.0,16867.0,79390.0,786,1400.25,-1509.5,0.8333,1400.25,-1509.5
33,TradervR1_lab_r16_02_p_entry_quality,TradervR1_47,pepper_entry_quality,289828.5,1786.0,-16.0,521.0,222.0,1950.59,1613.6855,96650.5,17013.5,79637.0,830,96739.0,17371.0,79368.0,814,96439.0,17051.0,79388.0,789,309.0,-3488.5,0.8333,309.0,-3488.5
34,TradervR1_lab_r10_02_a_quality_guard_p_entry_quality,TradervR1_47,"ash_quality_guard,pepper_entry_quality",289838.5,1796.0,-6.0,522.0,224.0,1960.78,1612.8878,96657.5,17013.5,79644.0,830,96739.0,17371.0,79368.0,814,96442.0,17051.0,79391.0,788,444.0833,-3917.0,0.6667,444.0833,-3917.0
35,TradervR1_lab_r18_08_p_entry_quality_a_local_fair_blend,TradervR1_lab_r17_05_a_local_fair_blend,"pepper_entry_quality,ash_local_fair_blend",289615.0,1572.5,-229.5,219.5,563.5,1604.245,1604.245,96349.0,16705.0,79644.0,842,97000.0,17632.0,79368.0,829,96266.0,16869.0,79397.0,807,,,,,
36,TradervR1_lab_r16_07_p_carry_defense_cmaes_pepper_carry_defense,TradervR1_lab_r16_07_p_carry_defense,"pepper_carry_defense,cmaes_refine",289836.5,1794.0,-8.0,522.0,223.0,1958.86,1603.5512,96656.5,17013.5,79643.0,831,96739.0,17371.0,79368.0,814,96441.0,17051.0,79390.0,789,122.6667,-3050.5,0.6667,122.6667,-3050.5
37,TradervR1_lab_r07_04_p_entry_quality_a_attack_tuning,TradervR1_47,"pepper_entry_quality,ash_attack_tuning",289525.5,1483.0,-319.0,372.0,302.0,1589.04,1589.04,96501.5,16857.5,79644.0,821,96654.0,17286.0,79368.0,818,96370.0,16973.0,79397.0,791,,,,,
38,TradervR1_lab_r06_06_p_carry_defense,TradervR1_47,pepper_carry_defense,289770.5,1728.0,-74.0,443.0,307.0,1858.49,1579.9778,96664.5,17013.5,79651.0,830,96660.0,17371.0,79289.0,813,96446.0,17051.0,79395.0,788,280.0833,-2914.0,0.6667,280.0833,-2914.0
