rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
1,TradervR1_lab_r03_03_a_local_fair_blend_p_entry_quality,TradervR1_lab_r02_03_a_attack_tuning_a_quality_guard_best,"ash_local_fair_blend,pepper_entry_quality",289733.5,1691.0,-111.0,328.0,408.0,1773.16,2869.6455,96457.5,16820.5,79637.0,846,96953.0,17646.0,79307.0,833,96323.0,16935.0,79388.0,807,2382.5,880.0,0.8333,2382.5,880.0
2,TradervR1_lab_r03_08_a_attack_tuning_a_quality_guard_p_entry_quality,TradervR1_47,"ash_attack_tuning,ash_quality_guard,pepper_entry_quality",290379.0,2336.5,534.5,521.5,484.5,2480.265,2476.8072,96651.0,17007.0,79644.0,829,97223.0,17855.0,79368.0,814,96505.0,17117.0,79388.0,791,717.6667,-2283.5,0.8333,717.6667,-2283.5
3,TradervR1_lab_r03_01_a_local_fair_blend,TradervR1_47,ash_local_fair_blend,289117.0,1074.5,-727.5,174.5,329.5,1109.215,1109.215,96304.0,16660.0,79644.0,873,96613.0,17245.0,79368.0,862,96200.0,16803.0,79397.0,838,,,,,
4,TradervR1_lab_r03_04_a_attack_tuning_a_quality_guard_p_entry_quality,TradervR1_lab_r02_04_a_local_fair_blend,"ash_attack_tuning,ash_quality_guard,pepper_entry_quality",289212.0,1169.5,-632.5,279.5,248.5,1247.445,557.9795,96409.0,16766.0,79643.0,790,96745.0,17377.0,79368.0,775,96058.0,16667.0,79391.0,755,-379.75,-3645.0,0.6667,-379.75,-3645.0
5,TradervR1_lab_r03_02_a_local_fair_blend,TradervR1_lab_r02_08_p_carry_defense,ash_local_fair_blend,288580.5,538.0,-1264.0,-48.0,342.0,493.84,493.84,96081.5,16444.5,79637.0,921,96511.0,17178.0,79333.0,897,95988.0,16593.0,79395.0,881,,,,,
6,TradervR1_lab_r03_06_p_entry_quality,TradervR1_34_1,pepper_entry_quality,288032.5,-10.0,-1812.0,-8.0,8.0,-13.44,-13.44,96121.5,16485.5,79636.0,731,96217.0,16849.0,79368.0,708,95694.0,16299.0,79395.0,690,,,,,
7,TradervR1_lab_r03_07_p_entry_quality_a_quality_guard,TradervR1_42_O2_1,"pepper_entry_quality,ash_quality_guard",287821.5,-221.0,-2023.0,-98.0,66.0,-260.58,-260.58,96031.5,16387.5,79644.0,723,96185.0,16817.0,79368.0,708,95605.0,16223.0,79382.0,687,,,,,
8,TradervR1_lab_r03_05_p_entry_quality_a_local_fair_blend,TradervR1_lab_r02_08_p_carry_defense,"pepper_entry_quality,ash_local_fair_blend",286255.5,-1787.0,-3589.0,-689.0,142.0,-2039.51,-2039.51,95440.5,15789.5,79651.0,962,95666.0,16359.0,79307.0,929,95149.0,15760.0,79389.0,905,,,,,
