rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
1,TradervR1_lab_r04_01_a_local_fair_blend,TradervR1_lab_r03_08_a_attack_tuning_a_quality_guard_p_entry_quality,ash_local_fair_blend,292738.0,4695.5,2893.5,1335.5,446.5,5127.205,7789.1167,97465.0,17821.0,79644.0,706,97999.0,18631.0,79368.0,704,97274.0,17886.0,79388.0,679,5063.4167,4296.75,1.0,5063.4167,4296.75
2,TradervR1_lab_r04_01_a_local_fair_blend_cmaes_ash_local_fair_blend,TradervR1_lab_r04_01_a_local_fair_blend,"ash_local_fair_blend,cmaes_refine",292738.0,4695.5,2893.5,1335.5,446.5,5127.205,6376.2955,97465.0,17821.0,79644.0,706,97999.0,18631.0,79368.0,704,97274.0,17886.0,79388.0,679,3130.75,-231.25,0.8333,3130.75,-231.25
3,TradervR1_lab_r04_06_a_attack_tuning,TradervR1_lab_r03_04_a_attack_tuning_a_quality_guard_p_entry_quality,ash_attack_tuning,288842.0,799.5,-1002.5,115.5,261.5,819.005,819.005,96245.0,16602.0,79643.0,828,96594.0,17226.0,79368.0,813,96003.0,16612.0,79391.0,797,,,,,
4,TradervR1_lab_r04_03_p_carry_defense_p_entry_quality_a_local_fair_blend,TradervR1_42_P1_1,"pepper_carry_defense,pepper_entry_quality,ash_local_fair_blend",287975.0,-67.5,-1869.5,-99.0,143.5,-113.63,-113.63,96174.0,16512.0,79662.0,686,96204.0,16895.0,79309.0,657,95597.0,16193.0,79404.0,652,,,,,
5,TradervR1_lab_r04_04_a_quality_guard_a_attack_tuning,TradervR1_42_O2_1,"ash_quality_guard,ash_attack_tuning",287975.5,-67.0,-1869.0,-165.0,259.0,-145.47,-145.47,95964.5,16320.5,79644.0,791,96311.0,16943.0,79368.0,770,95700.0,16303.0,79397.0,760,,,,,
6,TradervR1_lab_r04_07_a_quality_guard,TradervR1_lab_r03_03_a_local_fair_blend_p_entry_quality,ash_quality_guard,289816.5,1774.0,-28.0,319.0,584.0,1838.93,-392.905,96448.5,16805.5,79643.0,735,97120.0,17752.0,79368.0,731,96248.0,16857.0,79391.0,706,-3115.5,-7024.25,0.0,-3115.5,-7024.25
7,TradervR1_lab_r04_08_a_local_fair_blend_a_quality_guard,TradervR1_42_O2_1,"ash_local_fair_blend,ash_quality_guard",287770.5,-272.0,-2074.0,-270.0,373.0,-396.34,-396.34,95859.5,16215.5,79644.0,619,96320.0,16952.0,79368.0,625,95591.0,16194.0,79397.0,600,,,,,
8,TradervR1_lab_r04_05_a_attack_tuning,TradervR1_42_O2_1,ash_attack_tuning,287079.5,-963.0,-2765.0,-338.0,41.0,-1084.58,-1084.58,95801.5,16157.5,79644.0,830,95879.0,16511.0,79368.0,799,95399.0,16002.0,79397.0,793,,,,,
9,TradervR1_lab_r04_02_a_attack_tuning,TradervR1_lab_r03_03_a_local_fair_blend_p_entry_quality,ash_attack_tuning,289414.0,1371.5,-430.5,149.5,645.5,1372.185,-1457.8933,96279.0,16636.0,79643.0,736,97012.0,17644.0,79368.0,728,96123.0,16732.0,79391.0,704,-3873.8333,-8900.75,0.0,-3873.8333,-8900.75
