run_id,best_score,elapsed_seconds
1024,63.739495438222384,2.1733250617980957
2048,65.04393664365732,2.56341814994812
3072,65.21287476385282,2.9235081672668457
4096,66.968979010732,3.3354971408843994
5120,67.87309534955494,3.860373020172119
6144,67.87309534955494,4.086390972137451
7168,67.87309534955494,4.2927961349487305
8192,67.87309534955494,4.416219234466553
9216,67.87309534955494,4.556585311889648
10240,68.60794253607705,4.9256041049957275
11264,68.60794253607705,5.045626163482666
12288,68.60794253607705,5.159925222396851
13312,68.60794253607705,5.285519123077393
14336,68.60794253607705,5.405215263366699
15360,68.60794253607705,5.525719165802002
16384,69.2047212219596,5.910545110702515
17408,69.2047212219596,6.032286167144775
18432,69.2047212219596,6.147163152694702
19456,69.2047212219596,6.26750922203064
20480,69.21039000475295,6.629306077957153
21504,69.21039000475295,6.750172138214111
22528,69.21039000475295,6.8655500411987305
23552,69.21039000475295,6.984429121017456
24576,69.21039000475295,7.097350120544434
25600,69.21039000475295,7.252864122390747
26624,69.21039000475295,7.370228290557861
27648,69.21039000475295,7.485347032546997
28672,69.21039000475295,7.604291200637817
29696,69.21039000475295,7.723827123641968
30720,69.21039000475295,7.846372127532959
31744,69.21039000475295,7.968090057373047
32768,69.21039000475295,8.08980417251587
33792,69.21039000475295,8.214354276657104
34816,69.21039000475295,8.343589067459106
35840,69.21039000475295,8.471444368362427
36864,69.21039000475295,8.60071611404419
37888,69.21039000475295,8.729587316513062
38912,69.21039000475295,8.88997220993042
39936,69.21039000475295,9.018363237380981
40960,69.21039000475295,9.144728183746338
41984,69.21039000475295,9.267198324203491
43008,69.21039000475295,9.385875225067139
44032,69.21039000475295,9.498297214508057
45056,69.44253932748151,9.851457118988037
46080,69.44253932748151,9.968364000320435
47104,70.28885280138154,10.363752126693726
48128,70.28885280138154,10.48628306388855
49152,70.28885280138154,10.605713129043579
50176,70.28885280138154,10.726054191589355
51200,70.28885280138154,10.843201160430908
52224,70.28885280138154,10.974162101745605
53248,70.28885280138154,11.094725131988525
54272,71.13444161681832,11.454740285873413
55296,71.13444161681832,11.576154232025146
56320,71.13444161681832,11.697175025939941
57344,71.13444161681832,11.820756196975708
58368,71.13444161681832,11.989039182662964
59392,71.13444161681832,12.117738962173462
60416,71.13444161681832,12.251537084579468
61440,71.13444161681832,12.389647245407104
62464,71.13444161681832,12.521794080734253
63488,71.13444161681832,12.646616220474243
64512,71.13444161681832,12.783842086791992
65536,71.13444161681832,12.916608095169067
66560,71.13444161681832,13.04251217842102
67584,71.13444161681832,13.168200254440308
68608,71.13444161681832,13.29167103767395
69632,71.13444161681832,13.416194200515747
70656,71.13444161681832,13.541295051574707
71680,71.13444161681832,13.66813611984253
72704,71.13444161681832,13.8194260597229
73728,71.13444161681832,13.939921140670776
74752,71.13444161681832,14.078508138656616
75776,71.13444161681832,14.209556341171265
76800,71.13444161681832,14.331875085830688
77824,71.13444161681832,14.459277153015137
78848,71.13444161681832,14.58801817893982
79872,71.13444161681832,14.70993709564209
80896,71.13444161681832,14.83583116531372
81920,71.13444161681832,14.965290307998657
82944,71.13444161681832,15.093192338943481
83968,71.13444161681832,15.215126991271973
84992,71.13444161681832,15.340755224227905
86016,71.13444161681832,15.502345323562622
87040,71.13444161681832,15.622973203659058
88064,71.13444161681832,15.739013195037842
89088,71.13444161681832,15.857631921768188
90112,71.13444161681832,15.985119342803955
91136,71.13444161681832,16.112380266189575
92160,71.13444161681832,16.234900951385498
93184,71.13444161681832,16.367558240890503
94208,71.13444161681832,16.499890327453613
95232,71.13444161681832,16.626514196395874
96256,71.13444161681832,16.74742603302002
97280,71.13444161681832,16.895719289779663
98304,71.13444161681832,17.024532318115234
99328,71.13444161681832,17.14295721054077
100352,71.13444161681832,17.26675820350647
101376,71.13444161681832,17.42175316810608
102400,71.13444161681832,17.541073083877563
