rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
1,TradervR1_lab_r16_06_p_carry_defense,TradervR1_lab_r15_01_a_local_fair_blend,pepper_carry_defense,289596.0,1553.5,-248.5,396.5,216.5,1674.955,2195.7288,96526.0,16882.0,79644.0,794,96761.0,17393.0,79368.0,775,96309.0,16921.0,79388.0,757,1263.5833,43.25,0.8333,1263.5833,43.25
2,TradervR1_lab_r16_03_p_carry_defense,TradervR1_lab_r15_04_p_carry_defense,pepper_carry_defense,289452.5,1410.0,-392.0,297.0,260.0,1493.15,1493.15,96426.5,16783.5,79643.0,809,96773.0,17405.0,79368.0,789,96253.0,16863.0,79390.0,770,,,,,
3,TradervR1_lab_r16_04_p_carry_defense,TradervR1_lab_r15_06_a_local_fair_blend,pepper_carry_defense,289354.5,1312.0,-490.0,294.0,226.0,1396.82,1396.82,96423.5,16779.5,79644.0,855,96715.0,17347.0,79368.0,828,96216.0,16819.0,79397.0,816,,,,,
4,TradervR1_lab_r16_07_a_attack_tuning,TradervR1_lab_r15_01_a_local_fair_blend,ash_attack_tuning,289529.0,1486.5,-315.5,396.5,157.5,1612.675,1376.0788,96526.0,16882.0,79644.0,794,96753.0,17385.0,79368.0,776,96250.0,16853.0,79397.0,755,299.3333,-2573.25,0.8333,299.3333,-2573.25
5,TradervR1_lab_r16_01_a_quality_guard,TradervR1_47,ash_quality_guard,289844.5,1802.0,0.0,522.0,230.0,1966.3,699.3645,96657.5,17013.5,79644.0,830,96739.0,17371.0,79368.0,814,96448.0,17051.0,79397.0,789,-955.75,-6485.5,0.6667,-955.75,-6485.5
6,TradervR1_lab_r16_06_p_carry_defense_cmaes_pepper_carry_defense,TradervR1_lab_r16_06_p_carry_defense,"pepper_carry_defense,cmaes_refine",289596.0,1553.5,-248.5,396.5,216.5,1674.955,665.3312,96526.0,16882.0,79644.0,794,96761.0,17393.0,79368.0,775,96309.0,16921.0,79388.0,757,-621.0833,-5461.75,0.6667,-621.0833,-5461.75
7,TradervR1_lab_r16_05_p_entry_quality,TradervR1_34_1,pepper_entry_quality,288042.5,0.0,-1802.0,0.0,0.0,0.0,0.0,96129.5,16485.5,79644.0,730,96217.0,16849.0,79368.0,708,95696.0,16299.0,79397.0,690,,,,,
8,TradervR1_lab_r16_02_a_local_fair_blend,TradervR1_42_P1_1,ash_local_fair_blend,287743.5,-299.0,-2101.0,-279.0,315.0,-421.85,-421.85,95850.5,16206.5,79644.0,743,96253.0,16890.0,79363.0,713,95640.0,16243.0,79397.0,704,,,,,
9,TradervR1_lab_r16_08_p_carry_defense_a_local_fair_blend,TradervR1_42_O2_1,"pepper_carry_defense,ash_local_fair_blend",287674.5,-368.0,-2170.0,-243.0,236.0,-471.93,-471.93,95886.5,16243.5,79643.0,751,96210.0,16842.0,79368.0,733,95578.0,16188.0,79390.0,714,,,,,
