session_id,day,total_pnl,emerald_pnl,tomato_pnl,total_slope_per_step,total_r2,emerald_slope_per_step,emerald_r2,tomato_slope_per_step,tomato_r2
0,-2,15484.0,6967.0,8517.0,1.528546205778462,0.9970431090519752,0.6843281174972812,0.9963980620859231,0.8442180882811808,0.9964489384746589
1,-2,16231.0,7730.0,8501.0,1.6774203735147037,0.9982896089770593,0.7913793262377933,0.9983067602712837,0.8860410472769105,0.9952700412720784
2,-2,15359.0,7571.0,7788.0,1.4986680524146805,0.9973211168322245,0.7326754519747545,0.9971123110320008,0.765992600439926,0.9961837168504021
3,-2,16294.0,8476.0,7818.0,1.601092210751922,0.9982493260480974,0.8382880421828804,0.997928740366121,0.7628041685690417,0.9954347281612204
4,-2,15885.75,8145.0,7740.75,1.5468890248853902,0.9952085685730332,0.8227508677575087,0.9952497390327536,0.7241381571278815,0.9903097793743053
5,-2,16763.0,7383.0,9380.0,1.7127453517939535,0.9990822588069532,0.7667782604757826,0.9965856586160529,0.9459670913181709,0.9981977728936008
6,-2,16029.5,8723.0,7306.5,1.5539147732316478,0.9979197170396459,0.8504349258743492,0.996303290585857,0.7034798473572985,0.9956022911096261
7,-2,13569.0,6582.0,6987.0,1.3720536249450364,0.9985314416063081,0.6613263874332639,0.9972897736506408,0.7107272375117724,0.9971421938368767
8,-2,16403.5,7485.0,8918.5,1.602568695674687,0.9991192378251987,0.7186599551205995,0.9973887954724482,0.8839087405540874,0.9989049760534182
9,-2,16604.0,8416.0,8188.0,1.661102896117529,0.9976392340564291,0.8306287247842873,0.9965894037104527,0.8304741713332418,0.9967455313991515
10,-2,14543.25,7077.0,7466.25,1.4785373631808736,0.9978396262568845,0.7049845741198457,0.996631677573236,0.7735527890610279,0.9950361933956996
11,-2,16437.75,8247.0,8190.75,1.5442750352567503,0.9948592730753727,0.794863196506632,0.9927195354508495,0.7494118387501184,0.9927646472376638
12,-2,15501.5,7933.0,7568.5,1.6199030916860309,0.9981462306659299,0.8288538166105381,0.9975757757975847,0.7910492750754927,0.9978264783448866
13,-2,15210.75,8282.0,6928.75,1.538550105067501,0.9979338366713782,0.8519788287897883,0.9968270352761498,0.6865712762777127,0.995138601257515
14,-2,14481.0,7458.0,7023.0,1.3938471446314715,0.9981166230772979,0.7407592853795929,0.9969292010396007,0.6530878592518786,0.993587929306747
15,-2,16683.75,7211.0,9472.75,1.6316324534663245,0.998742325116333,0.7313068646690687,0.9979136221042807,0.9003255887972559,0.9952860978191886
16,-2,16524.5,7688.0,8836.5,1.6547903599079037,0.9990303458880821,0.7931525430595254,0.9947154707927479,0.8616378168483781,0.9976728547361758
17,-2,15540.5,7011.0,8529.5,1.5559389244558892,0.9990818528206582,0.6976576429125765,0.9978638809876056,0.8582812815433128,0.9968053281056916
18,-2,15782.5,6779.0,9003.5,1.5962276851027768,0.9983648158612405,0.6875660534276605,0.995094067689521,0.9086616316751163,0.9959310825467994
19,-2,14946.0,7797.0,7149.0,1.537998587848986,0.9950873773077418,0.7904918686709187,0.9980540595786203,0.7475067191780672,0.9848308924368985
20,-2,14617.0,7450.0,7167.0,1.5221095777010958,0.9948728027174152,0.802076909284769,0.9925143219328293,0.7200326684163267,0.9932188150851858
21,-2,14590.0,7184.0,7406.0,1.4746129416686293,0.9990464772711223,0.7113687926436879,0.9966629121706273,0.7632441490249415,0.9948073586004853
22,-2,14665.5,6968.0,7697.5,1.455982478493825,0.9990292658629003,0.6937178608511786,0.9970894711602656,0.7622646176426462,0.9945496655591571
23,-2,15494.75,6990.0,8504.75,1.5475601613226015,0.9978679304269004,0.708908296059083,0.9881665788715824,0.8386518652635186,0.998709915590124
24,-2,16547.0,8004.0,8543.0,1.626745588469956,0.9978666215311962,0.8059978880419789,0.9976429741718379,0.820747700427977,0.9957378454022663
25,-2,15576.5,7583.0,7993.5,1.5050252487352525,0.9966963940536385,0.7268152091121521,0.9943693811907524,0.7782100396231004,0.9907155219757183
26,-2,15920.0,7762.0,8158.0,1.5986814566353145,0.994984690604551,0.7855846629678467,0.9930163632269609,0.8130967936674679,0.9939315989128904
27,-2,14850.0,7490.0,7360.0,1.4441658647741586,0.9984568385041516,0.7371109912411099,0.9937524027380106,0.7070548735330487,0.9832982729280804
28,-2,15848.0,7552.0,8296.0,1.5243707027077071,0.9975282297250895,0.7608501714545017,0.9982135563334006,0.7635205312532053,0.9899153706605158
29,-2,17721.0,8202.0,9519.0,1.7892066882735669,0.9964898013832729,0.8382696091866961,0.9981790700354676,0.9509370790868708,0.9884745034083824
30,-2,16451.25,7940.0,8511.25,1.612633912337839,0.9983240809031233,0.7510488893384889,0.9952000853300434,0.8615850229993502,0.9983682854714012
31,-2,15110.0,7399.0,7711.0,1.5464927636069277,0.9922295516337627,0.757018403140184,0.9925960186941291,0.7894743604667436,0.9884641458097843
32,-2,15495.0,8107.0,7388.0,1.5450392393703924,0.9963175038602028,0.8182673923726739,0.9975089108764371,0.7267718469977185,0.9748269657798249
33,-2,14697.0,7221.0,7476.0,1.369870205766702,0.993110101141695,0.6590098733060987,0.9860723231164066,0.7108603324606033,0.9936881352231117
34,-2,16022.0,7860.0,8162.0,1.6079618388491184,0.9982684087685642,0.8250794190067942,0.9957769995696125,0.7828824198423242,0.9959314148290884
35,-2,15003.5,6965.0,8038.5,1.4837507447140075,0.9977694798937873,0.6749321058893211,0.990732962020087,0.8088186388246864,0.9943300588569731
36,-2,14616.5,6929.0,7687.5,1.5130855463058555,0.9974187368677,0.6881807742178078,0.9987837814024371,0.8249047720880477,0.9900116674508835
37,-2,15877.25,7724.0,8153.25,1.6259102384001023,0.9987593566066608,0.7814481371664814,0.9979116225166604,0.844462101233621,0.9977620032574234
38,-2,16873.25,8437.0,8436.25,1.6764134338681342,0.9986793804264912,0.8526442228084422,0.996503956523354,0.8237692110596921,0.9983072795583626
39,-2,16041.25,8134.0,7907.25,1.6288616409106165,0.9993293094985986,0.846816596828166,0.9958191052439199,0.7820450440824505,0.9958346301185036
40,-2,15706.75,7564.0,8142.75,1.5424259481957594,0.9988112157475681,0.7820627844506278,0.9975992661097429,0.7603631637451317,0.9912805665135092
41,-2,17041.5,7701.0,9340.5,1.7317925684329256,0.9987206748963098,0.7602313481643135,0.9943944256514103,0.9715612202686122,0.9951938867444696
42,-2,17176.0,8362.0,8814.0,1.6661445732744458,0.9976914896225866,0.8096481334944813,0.9963395722823014,0.8564964397799644,0.9931645619349833
43,-2,14961.5,7441.0,7520.5,1.5205066805980667,0.9987197514147175,0.7526013854180138,0.9954965044801476,0.7679052951800529,0.9972961846250727
44,-2,14629.5,6554.0,8075.5,1.419754501447545,0.9976268256671044,0.650954103371541,0.9955416758575656,0.768800398076004,0.9959351648891556
45,-2,12525.0,6611.0,5914.0,1.2655773705707738,0.9957897085138322,0.660082292952823,0.9969144912648233,0.6054950776179507,0.9860991231258794
46,-2,16888.25,7903.0,8985.25,1.73226800789318,0.9976417433106822,0.8138697697526976,0.9968080084978416,0.9183982381404824,0.9910465114131394
47,-2,16063.0,7791.0,8272.0,1.639279497221295,0.9978151522035001,0.8133854264138543,0.9975648434632274,0.8258940708074407,0.9958801946809909
48,-2,15805.5,7402.0,8403.5,1.6177032808090328,0.9983810929329486,0.753930198285302,0.9918079029403783,0.8637730825237309,0.9954366966743944
49,-2,15767.25,7140.0,8627.25,1.5345886308758863,0.9956908487025894,0.7177906478539064,0.9972824783431378,0.8167979830219798,0.9927170053373723
50,-2,14834.5,7771.0,7063.5,1.4881623892771239,0.9958763340183522,0.7739081044250811,0.9970675525657127,0.7142542848520429,0.9911508399644049
51,-2,16825.0,9234.0,7591.0,1.6497884370398843,0.9983136019652051,0.8715641272776413,0.9965220916800932,0.7782243097622431,0.9969173171807962
52,-2,16066.5,8271.0,7795.5,1.554907099536071,0.9966853506878125,0.8026981586029815,0.9935876648633364,0.7522089409330894,0.9966315819317818
53,-2,15329.75,7450.0,7879.75,1.4836650362986503,0.9929889408206262,0.7575618057396181,0.9942694903986987,0.7261032305590323,0.9870443355603769
54,-2,15916.0,7224.0,8692.0,1.5799258904592588,0.9977901453456589,0.7372569321045693,0.9887652183956595,0.8426689583546896,0.9987963937304869
55,-2,15630.0,7607.0,8023.0,1.610201505932515,0.9970168043492165,0.795340502463405,0.9947283951822057,0.8148610034691101,0.997331053058723
56,-2,14307.75,6612.0,7695.75,1.4426308681463087,0.9986400739230652,0.6607264726212647,0.9971830163278907,0.781904395525044,0.9965198905237677
57,-2,16775.5,7408.0,9367.5,1.6661233634272337,0.9966417689070588,0.7304556410605564,0.9976854522443117,0.9356677223666773,0.9926606054986862
58,-2,16012.0,7199.0,8813.0,1.6158466450369664,0.9987932465487278,0.7305709427617094,0.9948911039690028,0.885275702275257,0.9986749679416456
59,-2,16516.0,8238.0,8278.0,1.6177811465598115,0.9979135574980135,0.7881209421452094,0.9952680355372858,0.8296602044146021,0.9975955622758326
60,-2,14963.5,7317.0,7646.5,1.5578879095168792,0.9963732068584664,0.75913499642535,0.9959434985898205,0.7987529130915292,0.9931074288439966
61,-2,15642.0,7442.0,8200.0,1.5417781662322816,0.9914361253761635,0.7388371516343715,0.9960561424934399,0.8029410145979101,0.9781730336491582
62,-2,13952.75,6507.0,7445.75,1.4071369514218695,0.9982541159776405,0.6572155700061557,0.9976122590272712,0.7499213814157139,0.9958989228684219
63,-2,14838.25,7356.0,7482.25,1.495224505969745,0.9982837478873283,0.7340710727367107,0.9965428792124423,0.7611534332330343,0.9978355788323758
64,-2,16804.0,8051.0,8753.0,1.693362509137625,0.998984701828947,0.8170203419742034,0.9946155530914795,0.8763421671634217,0.9875276655461693
65,-2,15968.5,8116.0,7852.5,1.6209273145052732,0.9968697553336313,0.8293085795170858,0.9944834540563785,0.7916187349881874,0.9970317766838765
66,-2,16541.75,7452.0,9089.75,1.6703205239167052,0.9967008054369936,0.7542242214062422,0.9968065397481916,0.916096302510463,0.9904624491952989
67,-2,15699.0,7386.0,8313.0,1.5725860818328607,0.9987385496454543,0.7298113542381135,0.9958940086297423,0.8427747275947473,0.9949374939182399
68,-2,15625.0,8395.0,7230.0,1.5665944825739448,0.9985421354888468,0.8400356152383561,0.9961017204849221,0.7265588673355887,0.9970962716671903
69,-2,16544.0,8056.0,8488.0,1.6700039168360392,0.9941920003439164,0.8054423432424235,0.9960410875952227,0.8645615735936157,0.9887757709641634
70,-2,15673.75,7016.0,8657.75,1.6264521569430215,0.9980638655511385,0.7277913926279139,0.9933432448365243,0.8986607643151077,0.9975110062013798
71,-2,16623.0,8361.0,8262.0,1.6887305445318055,0.9979761649235797,0.8629955764579558,0.9983999931836882,0.8257349680738497,0.9923028326374999
72,-2,16420.0,7878.0,8542.0,1.7016938771709387,0.9977254010436725,0.8064701040607011,0.9962251262185371,0.8952237731102377,0.9970966116398134
73,-2,14947.5,8302.0,6645.5,1.4647128300536283,0.995176351353394,0.793380298987803,0.9952562222775327,0.6713325310658254,0.991431084594118
74,-2,16270.5,7584.0,8686.5,1.6798558661550587,0.9986137616249287,0.797126296149263,0.9964959161763817,0.8827295700057957,0.9977032150470299
75,-2,14396.0,5777.0,8619.0,1.4592999088599992,0.9970578298147136,0.6045950777559508,0.9919814663912421,0.8547048311040483,0.9976302725905353
76,-2,16043.25,7882.0,8161.25,1.5696298146197982,0.9976805219740528,0.783978508041785,0.9981958579021974,0.7856513065780131,0.9949025287784307
77,-2,14514.25,7362.0,7152.25,1.4454771800242718,0.9878038697773237,0.7170072155460722,0.9950213433046907,0.7284699644781997,0.9565178897709206
78,-2,14749.75,6890.0,7859.75,1.5070360634863607,0.9979148573154758,0.7103027242370272,0.9980317849440773,0.7967333392493334,0.9951111756003629
79,-2,15516.0,7464.0,8052.0,1.527428406769284,0.99864938541713,0.7116206657102067,0.9940701876060475,0.8158077410590774,0.9973515470180498
80,-2,17224.0,8244.0,8980.0,1.688791200321912,0.9976177733781839,0.8344498873724989,0.9987534236336015,0.8543413129494132,0.9915738721238824
81,-2,15326.0,7053.0,8273.0,1.5626084756270848,0.9991877731208152,0.7109555257135552,0.9989728500317295,0.8516529499135295,0.9976534567840643
82,-2,15599.0,7393.0,8206.0,1.5470129663931296,0.9982224487066337,0.719131706097317,0.9971759929129272,0.8278812602958125,0.9973050697805004
83,-2,14904.0,7345.0,7559.0,1.4833517830095178,0.9966796672907812,0.7298766851907669,0.9952319298126003,0.753475097818751,0.9968110119667299
84,-2,14705.25,7604.0,7101.25,1.5295946082829461,0.9910373049912985,0.7793077406450774,0.9951545656399786,0.7502868676378687,0.9824190514558723
85,-2,15505.5,6499.0,9006.5,1.6447218837567188,0.991386770787058,0.6559886380758864,0.9947517432738425,0.9887332456808324,0.9863520469753124
86,-2,15234.0,7712.0,7522.0,1.4916034880520348,0.9970264104843631,0.7794717801007178,0.9974365641656637,0.7121317079513171,0.9933305240942855
