seed,total_pnl,max_drawdown,own_trade_count
28,-20694.500000,46306.000000,991
29,-22926.500000,45814.500000,987
30,-16980.000000,39847.500000,1022
31,-22593.000000,43505.500000,1015
32,-14480.500000,39304.000000,983
33,-25598.500000,45915.500000,1037
