rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
1,TradervR1_lab_r04_01_a_local_fair_blend,TradervR1_lab_r03_08_a_attack_tuning_a_quality_guard_p_entry_quality,ash_local_fair_blend,292738.0,4695.5,2893.5,1335.5,446.5,5127.205,7745.5817,97465.0,17821.0,79644.0,706,97999.0,18631.0,79368.0,704,97274.0,17886.0,79388.0,679,5220.6667,3536.5,1.0,5220.6667,3536.5
2,TradervR1_lab_r04_01_a_local_fair_blend_cmaes_ash_local_fair_blend,TradervR1_lab_r04_01_a_local_fair_blend,"ash_local_fair_blend,cmaes_refine",292738.0,4695.5,2893.5,1335.5,446.5,5127.205,7230.9655,97465.0,17821.0,79644.0,706,97999.0,18631.0,79368.0,704,97274.0,17886.0,79388.0,679,4486.75,1999.25,0.8333,4486.75,1999.25
3,TradervR1_lab_r05_03_a_local_fair_blend,TradervR1_lab_r04_01_a_local_fair_blend_best,ash_local_fair_blend,292274.5,4232.0,2430.0,1067.0,635.0,4554.65,4687.5578,97196.5,17552.5,79644.0,734,97919.0,18551.0,79368.0,724,97159.0,17771.0,79388.0,700,1612.3333,-3824.0,0.6667,1612.3333,-3824.0
4,TradervR1_lab_r07_07_a_local_fair_blend,TradervR1_lab_r06_03_a_attack_tuning_best,ash_local_fair_blend,290279.0,2236.5,434.5,533.5,354.5,2394.865,3236.7305,96663.0,17019.0,79644.0,781,97032.0,17664.0,79368.0,762,96584.0,17187.0,79397.0,738,1921.5,315.0,0.8333,1921.5,315.0
5,TradervR1_lab_r18_08_a_quality_guard_cmaes_ash_quality_guard,TradervR1_lab_r18_08_a_quality_guard,"ash_quality_guard,cmaes_refine",290021.5,1979.0,177.0,441.0,339.0,2106.23,2974.0288,96570.5,16926.5,79644.0,829,96975.0,17607.0,79368.0,811,96476.0,17079.0,79397.0,791,1893.5833,580.0,0.8333,1893.5833,580.0
6,TradervR1_lab_r10_03_a_quality_guard_p_entry_quality_cmaes_ash_quality_guard,TradervR1_lab_r10_03_a_quality_guard_p_entry_quality,"ash_quality_guard,cmaes_refine",289838.5,1796.0,-6.0,522.0,224.0,1960.78,2958.7155,96657.5,17013.5,79644.0,830,96739.0,17371.0,79368.0,814,96442.0,17051.0,79391.0,788,2336.5,247.5,0.8333,2336.5,247.5
7,TradervR1_lab_r01_04_p_carry_defense,TradervR1_47,pepper_carry_defense,289833.5,1791.0,-11.0,521.0,227.0,1955.19,2947.375,96650.5,17013.5,79637.0,830,96739.0,17371.0,79368.0,814,96444.0,17051.0,79393.0,789,1949.0,1274.75,1.0,1949.0,1274.75
8,TradervR1_lab_r09_05_a_local_fair_blend,TradervR1_lab_r08_05_p_entry_quality_a_attack_tuning_best,ash_local_fair_blend,290063.5,2021.0,219.0,568.0,160.0,2207.0,2884.9938,96697.5,17053.5,79644.0,803,96945.0,17577.0,79368.0,779,96421.0,17033.0,79388.0,757,1736.0833,-325.75,0.8333,1736.0833,-325.75
9,TradervR1_lab_r15_03_a_quality_guard_a_local_fair_blend,TradervR1_47,"ash_quality_guard,ash_local_fair_blend",290392.0,2349.5,547.5,703.5,168.5,2582.245,2782.5172,96833.0,17189.0,79644.0,689,96991.0,17623.0,79368.0,676,96568.0,17171.0,79397.0,669,903.4167,-1359.0,0.8333,903.4167,-1359.0
10,TradervR1_lab_r03_08_a_attack_tuning_a_quality_guard_p_entry_quality,TradervR1_47,"ash_attack_tuning,ash_quality_guard,pepper_entry_quality",290379.0,2336.5,534.5,521.5,484.5,2480.265,2718.1912,96651.0,17007.0,79644.0,829,97223.0,17855.0,79368.0,814,96505.0,17117.0,79388.0,791,956.9167,-1201.25,0.6667,956.9167,-1201.25
