ash_total,day_0_ash,day_0_early_dd,day_0_final_pos_ash,day_0_final_pos_pepper,day_0_pepper,day_0_total,day_0_trades,day_0_ttp_ash,day_0_ttp_pepper,day_m1_ash,day_m1_early_dd,day_m1_final_pos_ash,day_m1_final_pos_pepper,day_m1_pepper,day_m1_total,day_m1_trades,day_m1_ttp_ash,day_m1_ttp_pepper,day_m2_ash,day_m2_early_dd,day_m2_final_pos_ash,day_m2_final_pos_pepper,day_m2_pepper,day_m2_total,day_m2_trades,day_m2_ttp_ash,day_m2_ttp_pepper,delta_vs_v52,delta_vs_v54,name,path,pepper_avg_buy,pepper_total,stage,total,trade_count,worst_drawdown,worst_early_drawdown
54148.5,17881.0,1007371.0,-45,80,79397.0,97278.0,681,3700,1100,18572.0,1051628.0,16,80,79368.0,97940.0,702,2800,3100,17695.5,1451429.0,51,80,79644.0,97339.5,706,700,300,2315.0,37.0,TradervR1_R56_OC1_clean,Bots/Round1/robustness/TradervR1_R56_OC1_clean.py,11006.4625,238409.0,StageA,292557.5,2089,1533587.5,1451429.0
54148.5,17881.0,1007371.0,-45,80,79397.0,97278.0,681,3700,1100,18572.0,1051628.0,16,80,79368.0,97940.0,702,2800,3100,17695.5,1451429.0,51,80,79644.0,97339.5,706,700,300,2315.0,37.0,TradervR1_R58_OF1_blend,Bots/Round1/robustness/TradervR1_R58_OF1_blend.py,11006.4625,238409.0,StageB,292557.5,2089,1533587.5,1451429.0
54148.5,17881.0,1007371.0,-45,80,79397.0,97278.0,681,3700,1100,18572.0,1051628.0,16,80,79368.0,97940.0,702,2800,3100,17695.5,1451429.0,51,80,79644.0,97339.5,706,700,300,2315.0,37.0,TradervR1_R58_OF2_guarded,Bots/Round1/robustness/TradervR1_R58_OF2_guarded.py,11006.4625,238409.0,StageB,292557.5,2089,1533587.5,1451429.0
54148.5,17881.0,1007371.0,-45,80,79397.0,97278.0,681,3700,1100,18572.0,1051628.0,16,80,79368.0,97940.0,702,2800,3100,17695.5,1451429.0,51,80,79644.0,97339.5,706,700,300,2315.0,37.0,TradervR1_R59_OR2_full,Bots/Round1/robustness/TradervR1_R59_OR2_full.py,11006.4625,238409.0,StageB,292557.5,2089,1533587.5,1451429.0
54148.5,17881.0,1007371.0,-45,80,79397.0,97278.0,681,3700,1100,18572.0,1051628.0,16,80,79368.0,97940.0,702,2800,3100,17695.5,1451429.0,51,80,79644.0,97339.5,706,700,300,2315.0,37.0,TradervR1_R60_OS2_front_only,Bots/Round1/robustness/TradervR1_R60_OS2_front_only.py,11006.4625,238409.0,StageB,292557.5,2089,1533587.5,1451429.0
54148.5,17881.0,1007371.0,-45,80,79397.0,97278.0,681,3700,1100,18572.0,1051628.0,16,80,79368.0,97940.0,702,2800,3100,17695.5,1451429.0,51,80,79644.0,97339.5,706,700,300,2315.0,37.0,TradervR1_R61_PC1_light,Bots/Round1/robustness/TradervR1_R61_PC1_light.py,11006.4625,238409.0,StageC,292557.5,2089,1533587.5,1451429.0
54148.5,17881.0,1007371.0,-45,80,79397.0,97278.0,681,3700,1100,18572.0,1051628.0,16,80,79368.0,97940.0,702,2800,3100,17695.5,1451429.0,51,80,79644.0,97339.5,706,700,300,2315.0,37.0,TradervR1_R61_PC2_coarse,Bots/Round1/robustness/TradervR1_R61_PC2_coarse.py,11006.4625,238409.0,StageC,292557.5,2089,1533587.5,1451429.0
54148.5,17881.0,1007371.0,-45,80,79397.0,97278.0,681,3700,1100,18572.0,1051628.0,16,80,79368.0,97940.0,702,2800,3100,17695.5,1451429.0,51,80,79644.0,97339.5,706,700,300,2315.0,37.0,TradervR1_ABL_wall_mid_off,Bots/Round1/robustness/TradervR1_ABL_wall_mid_off.py,11006.4625,238409.0,StageC,292557.5,2089,1533587.5,1451429.0
54148.5,17881.0,1007371.0,-45,80,79397.0,97278.0,681,3700,1100,18572.0,1051628.0,16,80,79368.0,97940.0,702,2800,3100,17695.5,1451429.0,51,80,79644.0,97339.5,706,700,300,2315.0,37.0,TradervR1_ABL_depth_impact_off,Bots/Round1/robustness/TradervR1_ABL_depth_impact_off.py,11006.4625,238409.0,StageC,292557.5,2089,1533587.5,1451429.0
54148.5,17881.0,1007371.0,-45,80,79397.0,97278.0,681,3700,1100,18572.0,1051628.0,16,80,79368.0,97940.0,702,2800,3100,17695.5,1451429.0,51,80,79644.0,97339.5,706,700,300,2315.0,37.0,TradervR1_ABL_linear_inventory,Bots/Round1/robustness/TradervR1_ABL_linear_inventory.py,11006.4625,238409.0,StageC,292557.5,2089,1533587.5,1451429.0
