name,avg_official_mean,avg_official_std,avg_official_p05,avg_official_p01,avg_official_prob_loss,worst_official_score,final_score,positions,AC,AC_45_KO,AC_40_BP,AC_50_CO,AC_50_C_2,AC_50_P_2,AC_35_P,AC_40_P,AC_45_P,AC_50_P,AC_50_C,AC_60_C
Candidate_A,625.6593802657399,234.5552910147252,265.6750391051495,116.53142845867548,0.0,89.01780490670433,705.3618919972847,"{""AC"": -50, ""AC_35_P"": 50, ""AC_40_BP"": -50, ""AC_40_P"": 50, ""AC_45_KO"": -270, ""AC_45_P"": 50, ""AC_50_C"": 47, ""AC_50_CO"": -14, ""AC_50_C_2"": 38, ""AC_50_P"": 50, ""AC_50_P_2"": 40, ""AC_60_C"": 30}",-50,-270,-50,-14,38,40,50,50,50,50,47,30
Candidate_C,581.9869142980754,220.71281750044685,238.84986757583977,104.00299289747,0.0,78.15009195823066,653.6418745708273,"{""AC"": -50, ""AC_35_P"": 50, ""AC_40_BP"": -50, ""AC_40_P"": 25, ""AC_45_KO"": -270, ""AC_45_P"": 50, ""AC_50_C"": 47, ""AC_50_CO"": -14, ""AC_50_C_2"": 38, ""AC_50_P"": 50, ""AC_50_P_2"": 40, ""AC_60_C"": 30}",-50,-270,-50,-14,38,40,50,25,50,50,47,30
Candidate_D,576.4927807233883,221.81790865074055,235.2617838174913,94.29655261225932,0.0,70.15107879003867,647.0713158686357,"{""AC"": -50, ""AC_35_P"": 50, ""AC_40_BP"": -50, ""AC_40_P"": 50, ""AC_45_KO"": -270, ""AC_45_P"": 25, ""AC_50_C"": 47, ""AC_50_CO"": -14, ""AC_50_C_2"": 38, ""AC_50_P"": 50, ""AC_50_P_2"": 40, ""AC_60_C"": 30}",-50,-270,-50,-14,38,40,50,50,25,50,47,30
Candidate_E,573.5442797214955,223.7996745531881,233.59347577059427,89.01895449298675,0.0,64.00053234925603,643.6223224526738,"{""AC"": -50, ""AC_35_P"": 50, ""AC_40_BP"": -50, ""AC_40_P"": 50, ""AC_45_KO"": -270, ""AC_45_P"": 50, ""AC_50_C"": 47, ""AC_50_CO"": -14, ""AC_50_C_2"": 38, ""AC_50_P"": 25, ""AC_50_P_2"": 40, ""AC_60_C"": 30}",-50,-270,-50,-14,38,40,50,50,50,25,47,30
Candidate_B,335.7510481572191,162.350512849343,75.55892012253106,-2.2152428398539077,0.0133333333333333,-34.79330840836552,357.7520575273117,"{""AC"": -50, ""AC_35_P"": 50, ""AC_40_BP"": -50, ""AC_45_KO"": -270, ""AC_50_C"": 47, ""AC_50_CO"": -14, ""AC_50_C_2"": 38, ""AC_50_P_2"": 40, ""AC_60_C"": 30}",-50,-270,-50,-14,38,40,50,0,0,0,47,30
