rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
1,TradervR1_lab_r04_01_a_local_fair_blend_cmaes_ash_local_fair_blend,TradervR1_lab_r04_01_a_local_fair_blend,"ash_local_fair_blend,cmaes_refine",292443.5,4401.0,2599.0,1132.0,540.0,4754.0,6036.6255,97261.5,17624.5,79637.0,703,97889.0,18582.0,79307.0,703,97293.0,17905.0,79388.0,681,3380.75,-706.0,0.8333,3380.75,-706.0
2,TradervR1_lab_r04_01_a_local_fair_blend,TradervR1_lab_r03_03_a_local_fair_blend_p_entry_quality,ash_local_fair_blend,292443.5,4401.0,2599.0,1132.0,540.0,4754.0,5760.0638,97261.5,17624.5,79637.0,703,97889.0,18582.0,79307.0,703,97293.0,17905.0,79388.0,681,3009.3333,-1620.25,0.8333,3009.3333,-1620.25
3,TradervR1_lab_r05_03_a_local_fair_blend,TradervR1_lab_r04_01_a_local_fair_blend,ash_local_fair_blend,291999.0,3956.5,2154.5,1042.5,482.5,4282.775,4266.9888,97172.0,17535.0,79637.0,735,97742.0,18435.0,79307.0,729,97085.0,17697.0,79388.0,700,1680.5833,-5122.75,0.8333,1680.5833,-5122.75
4,TradervR1_lab_r01_04_p_carry_defense,TradervR1_47,pepper_carry_defense,289833.5,1791.0,-11.0,521.0,227.0,1955.19,3197.2567,96650.5,17013.5,79637.0,830,96739.0,17371.0,79368.0,814,96444.0,17051.0,79393.0,789,2380.4167,1827.0,1.0,2380.4167,1827.0
5,TradervR1_lab_r15_08_a_local_fair_blend,TradervR1_47,ash_local_fair_blend,290154.5,2112.0,310.0,547.0,299.0,2279.53,2882.8438,96676.5,17032.5,79644.0,841,97063.0,17695.0,79368.0,810,96415.0,17018.0,79397.0,796,1770.5833,-957.75,0.8333,1770.5833,-957.75
6,TradervR1_lab_r03_03_a_local_fair_blend_p_entry_quality,TradervR1_lab_r02_03_a_attack_tuning_a_quality_guard_best,"ash_local_fair_blend,pepper_entry_quality",289733.5,1691.0,-111.0,328.0,408.0,1773.16,2869.6455,96457.5,16820.5,79637.0,846,96953.0,17646.0,79307.0,833,96323.0,16935.0,79388.0,807,2382.5,880.0,0.8333,2382.5,880.0
7,TradervR1_lab_r02_03_a_attack_tuning_a_quality_guard,TradervR1_lab_r01_04_p_carry_defense,"ash_attack_tuning,ash_quality_guard",290017.5,1975.0,173.0,406.0,390.0,2085.9,2770.0155,96535.5,16898.5,79637.0,827,97013.0,17645.0,79368.0,812,96469.0,17076.0,79393.0,791,1748.5,-317.5,0.8333,1748.5,-317.5
8,TradervR1_lab_r04_07_a_quality_guard,TradervR1_lab_r03_08_a_attack_tuning_a_quality_guard_p_entry_quality,ash_quality_guard,290253.0,2210.5,408.5,521.5,358.5,2364.345,2583.4888,96651.0,17007.0,79644.0,829,97097.0,17729.0,79368.0,819,96505.0,17117.0,79388.0,791,904.8333,-1228.25,0.8333,904.8333,-1228.25
9,TradervR1_lab_r10_03_a_quality_guard_p_entry_quality,TradervR1_47,"ash_quality_guard,pepper_entry_quality",289838.5,1796.0,-6.0,522.0,224.0,1960.78,2493.1555,96657.5,17013.5,79644.0,830,96739.0,17371.0,79368.0,814,96442.0,17051.0,79391.0,788,1532.75,-781.5,0.8333,1532.75,-781.5
10,TradervR1_lab_r03_08_a_attack_tuning_a_quality_guard_p_entry_quality,TradervR1_47,"ash_attack_tuning,ash_quality_guard,pepper_entry_quality",290379.0,2336.5,534.5,521.5,484.5,2480.265,2476.8072,96651.0,17007.0,79644.0,829,97223.0,17855.0,79368.0,814,96505.0,17117.0,79388.0,791,717.6667,-2283.5,0.8333,717.6667,-2283.5
