rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
1,TradervR1_lab_r04_01_a_local_fair_blend_cmaes_ash_local_fair_blend,TradervR1_lab_r04_01_a_local_fair_blend,"ash_local_fair_blend,cmaes_refine",292214.5,4172.0,2370.0,1034.0,557.0,4489.34,6736.0167,97163.5,17526.5,79637.0,707,97764.0,18431.0,79333.0,698,97287.0,17892.0,79395.0,680,4620.4167,2596.5,1.0,4620.4167,2596.5
2,TradervR1_lab_r04_01_a_local_fair_blend,TradervR1_lab_r03_03_a_local_fair_blend_p_entry_quality,ash_local_fair_blend,292214.5,4172.0,2370.0,1034.0,557.0,4489.34,6590.62,97163.5,17526.5,79637.0,707,97764.0,18431.0,79333.0,698,97287.0,17892.0,79395.0,680,4318.0,2422.0,1.0,4318.0,2422.0
3,TradervR1_lab_r05_03_a_local_fair_blend,TradervR1_lab_r04_01_a_local_fair_blend,ash_local_fair_blend,291701.0,3658.5,1856.5,961.5,413.5,3961.945,6072.1767,97091.0,17454.0,79637.0,733,97539.0,18206.0,79333.0,717,97071.0,17676.0,79395.0,692,4097.9167,3114.75,1.0,4097.9167,3114.75
4,TradervR1_lab_r18_08_p_entry_quality_a_local_fair_blend_cmaes_pepper_entry_quality,TradervR1_lab_r18_08_p_entry_quality_a_local_fair_blend,"pepper_entry_quality,cmaes_refine",291181.5,3139.0,1337.0,767.0,498.0,3367.61,4506.7322,96896.5,17252.5,79644.0,799,97324.0,17956.0,79368.0,782,96961.0,17564.0,79397.0,766,2609.1667,473.5,0.8333,2609.1667,473.5
5,TradervR1_lab_r18_08_p_entry_quality_a_local_fair_blend,TradervR1_47,"pepper_entry_quality,ash_local_fair_blend",291181.5,3139.0,1337.0,767.0,498.0,3367.61,3634.5005,96896.5,17252.5,79644.0,799,97324.0,17956.0,79368.0,782,96961.0,17564.0,79397.0,766,1436.5,-2406.25,0.8333,1436.5,-2406.25
6,TradervR1_lab_r07_07_a_local_fair_blend,TradervR1_lab_r06_03_a_attack_tuning,ash_local_fair_blend,290750.5,2708.0,906.0,829.0,163.0,2985.11,3570.5055,96958.5,17297.5,79661.0,789,97104.0,17779.0,79325.0,775,96688.0,17277.0,79411.0,752,1723.25,-950.5,0.8333,1723.25,-950.5
7,TradervR1_lab_r13_01_a_quality_guard_a_local_fair_blend,TradervR1_47_2,"ash_quality_guard,ash_local_fair_blend",290013.5,1971.0,169.0,478.0,412.0,2105.34,2855.3188,96607.5,16963.5,79644.0,804,97107.0,17739.0,79368.0,785,96299.0,16902.0,79397.0,771,1883.5833,-233.0,0.8333,1883.5833,-233.0
8,TradervR1_lab_r07_06_a_attack_tuning_a_local_fair_blend,TradervR1_lab_r06_05_a_quality_guard_a_local_fair_blend,"ash_attack_tuning,ash_local_fair_blend",290137.0,2094.5,292.5,479.5,395.5,2230.685,2644.3822,96609.0,16965.0,79644.0,831,96957.0,17589.0,79368.0,807,96571.0,17174.0,79397.0,790,1461.9167,-1430.25,0.8333,1461.9167,-1430.25
9,TradervR1_lab_r10_03_a_quality_guard_p_entry_quality_cmaes_ash_quality_guard,TradervR1_lab_r10_03_a_quality_guard_p_entry_quality,"ash_quality_guard,cmaes_refine",289838.5,1796.0,-6.0,522.0,224.0,1960.78,2525.5055,96657.5,17013.5,79644.0,830,96739.0,17371.0,79368.0,814,96442.0,17051.0,79391.0,788,2050.25,-2029.0,0.8333,2050.25,-2029.0
10,TradervR1_lab_r01_04_p_carry_defense,TradervR1_47,pepper_carry_defense,289833.5,1791.0,-11.0,521.0,227.0,1955.19,2505.5072,96650.5,17013.5,79637.0,830,96739.0,17371.0,79368.0,814,96444.0,17051.0,79393.0,789,1662.1667,-1020.25,0.8333,1662.1667,-1020.25
