rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
1,TradervR1_lab_r04_01_a_local_fair_blend_cmaes_ash_local_fair_blend,TradervR1_lab_r04_01_a_local_fair_blend,"ash_local_fair_blend,cmaes_refine",292738.0,4695.5,2893.5,1335.5,446.5,5127.205,7941.0767,97465.0,17821.0,79644.0,706,97999.0,18631.0,79368.0,704,97274.0,17886.0,79388.0,679,5389.4167,4450.75,1.0,5389.4167,4450.75
2,TradervR1_lab_r04_01_a_local_fair_blend,TradervR1_lab_r03_08_a_attack_tuning_a_quality_guard_p_entry_quality,ash_local_fair_blend,292738.0,4695.5,2893.5,1335.5,446.5,5127.205,7748.18,97465.0,17821.0,79644.0,706,97999.0,18631.0,79368.0,704,97274.0,17886.0,79388.0,679,5309.5,3301.25,1.0,5309.5,3301.25
3,TradervR1_lab_r05_03_a_local_fair_blend,TradervR1_lab_r04_01_a_local_fair_blend,ash_local_fair_blend,292274.5,4232.0,2430.0,1067.0,635.0,4554.65,6400.2883,97196.5,17552.5,79644.0,734,97919.0,18551.0,79368.0,724,97159.0,17771.0,79388.0,700,3775.5833,2145.75,1.0,3775.5833,2145.75
4,TradervR1_lab_r16_01_a_local_fair_blend_cmaes_ash_local_fair_blend,TradervR1_lab_r16_01_a_local_fair_blend,"ash_local_fair_blend,cmaes_refine",290154.5,2112.0,310.0,547.0,299.0,2279.53,3805.6133,96676.5,17032.5,79644.0,841,97063.0,17695.0,79368.0,810,96415.0,17018.0,79397.0,796,2921.8333,2302.5,1.0,2921.8333,2302.5
5,TradervR1_lab_r12_08_p_entry_quality,TradervR1_lab_r11_01_a_quality_guard_p_entry_quality,pepper_entry_quality,290302.0,2259.5,457.5,501.5,438.5,2399.945,3549.2483,96631.0,16994.0,79637.0,830,97157.0,17789.0,79368.0,817,96514.0,17117.0,79397.0,792,2146.8333,1825.5,1.0,2146.8333,1825.5
6,TradervR1_lab_r03_08_a_attack_tuning_a_quality_guard_p_entry_quality,TradervR1_47,"ash_attack_tuning,ash_quality_guard,pepper_entry_quality",290379.0,2336.5,534.5,521.5,484.5,2480.265,3185.2872,96651.0,17007.0,79644.0,829,97223.0,17855.0,79368.0,814,96505.0,17117.0,79388.0,791,1550.1667,398.5,0.8333,1550.1667,398.5
7,TradervR1_lab_r12_08_p_entry_quality_cmaes_pepper_entry_quality,TradervR1_lab_r12_08_p_entry_quality,"pepper_entry_quality,cmaes_refine",290302.0,2259.5,457.5,501.5,438.5,2399.945,2938.4688,96631.0,16994.0,79637.0,830,97157.0,17789.0,79368.0,817,96514.0,17117.0,79397.0,792,1345.5833,-206.25,0.8333,1345.5833,-206.25
8,TradervR1_lab_r02_03_a_attack_tuning_a_quality_guard,TradervR1_lab_r01_08_p_carry_defense_a_quality_guard,"ash_attack_tuning,ash_quality_guard",289945.0,1902.5,100.5,438.5,361.5,2027.055,2790.8338,96568.0,16932.0,79636.0,822,96881.0,17513.0,79368.0,802,96496.0,17106.0,79390.0,783,1989.8333,-438.0,0.8333,1989.8333,-438.0
9,TradervR1_lab_r07_07_a_local_fair_blend,TradervR1_lab_r06_05_a_quality_guard_a_local_fair_blend,ash_local_fair_blend,290554.0,2511.5,709.5,587.5,396.5,2685.405,2785.0595,96717.0,17073.0,79644.0,817,97201.0,17833.0,79368.0,800,96636.0,17239.0,79397.0,776,1175.0,-2812.0,0.6667,1175.0,-2812.0
10,TradervR1_lab_r07_06_a_attack_tuning_a_local_fair_blend,TradervR1_lab_r06_04_p_carry_defense_p_entry_quality,"ash_attack_tuning,ash_local_fair_blend",289863.0,1820.5,18.5,438.5,274.5,1952.015,2776.6472,96568.0,16924.0,79644.0,787,96930.0,17614.0,79316.0,772,96365.0,16968.0,79397.0,755,1733.1667,730.0,0.8333,1733.1667,730.0
11,TradervR1_lab_r12_07_a_local_fair_blend_a_attack_tuning,TradervR1_47_2,"ash_local_fair_blend,ash_attack_tuning",289878.0,1835.5,33.5,417.5,342.5,1954.225,2737.5083,96547.0,16903.0,79644.0,790,96977.0,17609.0,79368.0,772,96354.0,16957.0,79397.0,755,1630.0833,687.5,1.0,1630.0833,687.5
