rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
30,TradervR1_lab_r02_03_a_attack_tuning_a_quality_guard,TradervR1_lab_r01_05_p_carry_defense,"ash_attack_tuning,ash_quality_guard",290006.5,1964.0,162.0,438.0,353.0,2089.06,1612.7405,96567.5,16898.5,79669.0,827,96952.0,17645.0,79307.0,811,96487.0,17076.0,79411.0,790,399.75,-4752.75,0.8333,399.75,-4752.75
31,TradervR1_lab_r01_08_p_carry_defense_a_quality_guard,TradervR1_47_2,"pepper_carry_defense,ash_quality_guard",289506.5,1464.0,-338.0,270.0,358.0,1529.86,1529.86,96399.5,16763.5,79636.0,824,96845.0,17477.0,79368.0,806,96262.0,16872.0,79390.0,787,,,,,
32,TradervR1_lab_r01_03_p_entry_quality_a_quality_guard,TradervR1_47_2,"pepper_entry_quality,ash_quality_guard",289500.5,1458.0,-344.0,277.0,351.0,1526.87,1526.87,96406.5,16763.5,79643.0,824,96845.0,17477.0,79368.0,806,96249.0,16867.0,79382.0,785,,,,,
33,TradervR1_lab_r02_06_p_carry_defense,TradervR1_lab_r01_08_p_carry_defense_a_quality_guard,pepper_carry_defense,289499.5,1457.0,-345.0,264.0,364.0,1520.28,1520.28,96393.5,16763.5,79630.0,823,96845.0,17477.0,79368.0,806,96261.0,16872.0,79389.0,786,,,,,
34,TradervR1_lab_r05_05_a_attack_tuning,TradervR1_47_2,ash_attack_tuning,289445.0,1402.5,-399.5,279.5,285.5,1477.485,1477.485,96409.0,16765.0,79644.0,815,96775.0,17407.0,79368.0,802,96261.0,16864.0,79397.0,782,,,,,
35,TradervR1_lab_r05_01_p_carry_defense,TradervR1_47,pepper_carry_defense,289832.5,1790.0,-12.0,479.0,287.0,1934.69,1470.5505,96674.5,17013.5,79661.0,830,96696.0,17371.0,79325.0,814,96462.0,17051.0,79411.0,789,178.5,-4026.75,0.8333,178.5,-4026.75
36,TradervR1_lab_r11_03_p_entry_quality_p_carry_defense_a_attack_tuning,TradervR1_lab_r10_03_a_quality_guard_p_entry_quality_best,"pepper_entry_quality,pepper_carry_defense,ash_attack_tuning",289394.5,1352.0,-450.0,349.0,283.0,1451.51,1451.51,96500.5,16857.5,79643.0,822,96566.0,17198.0,79368.0,815,96328.0,16946.0,79382.0,786,,,,,
37,TradervR1_lab_r02_01_a_attack_tuning_p_carry_defense,TradervR1_47,"ash_attack_tuning,pepper_carry_defense",289323.5,1281.0,-521.0,317.0,195.0,1376.35,1376.35,96446.5,16802.5,79644.0,828,96729.0,17361.0,79368.0,810,96148.0,16751.0,79397.0,786,,,,,
38,TradervR1_lab_r11_04_p_entry_quality,TradervR1_47_2,pepper_entry_quality,289363.5,1321.0,-481.0,216.0,352.0,1368.44,1368.44,96345.5,16701.5,79644.0,821,96754.0,17386.0,79368.0,800,96264.0,16867.0,79397.0,786,,,,,
39,TradervR1_lab_r12_04_p_entry_quality,TradervR1_lab_r11_04_p_entry_quality,pepper_entry_quality,289354.5,1312.0,-490.0,209.0,357.0,1356.59,1356.59,96338.5,16701.5,79637.0,821,96754.0,17386.0,79368.0,800,96262.0,16867.0,79395.0,786,,,,,
40,TradervR1_lab_r12_03_p_entry_quality_a_quality_guard,TradervR1_47_2,"pepper_entry_quality,ash_quality_guard",289321.5,1279.0,-523.0,216.0,352.0,1326.44,1326.44,96345.5,16701.5,79644.0,821,96712.0,17344.0,79368.0,799,96264.0,16867.0,79397.0,786,,,,,
41,TradervR1_lab_r06_04_p_carry_defense_p_entry_quality,TradervR1_47_2,"pepper_carry_defense,pepper_entry_quality",289311.5,1269.0,-533.0,216.0,352.0,1316.44,1316.44,96345.5,16701.5,79644.0,821,96702.0,17386.0,79316.0,800,96264.0,16867.0,79397.0,785,,,,,
42,TradervR1_lab_r04_07_a_quality_guard,TradervR1_lab_r03_03_a_local_fair_blend_p_entry_quality,ash_quality_guard,289464.5,1422.0,-380.0,304.0,281.0,1505.92,1298.5338,96433.5,16796.5,79637.0,809,96750.0,17382.0,79368.0,799,96281.0,16886.0,79395.0,773,346.5833,-2462.75,0.8333,346.5833,-2462.75
43,TradervR1_lab_r05_02_p_carry_defense,TradervR1_47_2,pepper_carry_defense,289293.5,1251.0,-551.0,209.0,357.0,1295.59,1295.59,96338.5,16701.5,79637.0,821,96693.0,17386.0,79307.0,799,96262.0,16867.0,79395.0,785,,,,,
44,TradervR1_lab_r05_06_a_attack_tuning_p_entry_quality_p_carry_defense,TradervR1_47,"ash_attack_tuning,pepper_entry_quality,pepper_carry_defense",289206.5,1164.0,-638.0,364.0,59.0,1286.68,1286.68,96493.5,16839.5,79654.0,832,96594.0,17269.0,79325.0,815,96119.0,16709.0,79410.0,793,,,,,
45,TradervR1_lab_r06_05_a_quality_guard_a_local_fair_blend,TradervR1_47,"ash_quality_guard,ash_local_fair_blend",289258.5,1216.0,-586.0,254.0,250.0,1284.9,1284.9,96383.5,16739.5,79644.0,861,96721.0,17353.0,79368.0,834,96154.0,16757.0,79397.0,821,,,,,
46,TradervR1_lab_r13_03_p_carry_defense_p_entry_quality,TradervR1_47_2,"pepper_carry_defense,pepper_entry_quality",289295.5,1253.0,-549.0,216.0,345.0,1301.0,1265.7222,96345.5,16701.5,79644.0,821,96693.0,17386.0,79307.0,800,96257.0,16867.0,79390.0,786,529.1667,-1658.5,0.8333,529.1667,-1658.5
47,TradervR1_lab_r09_07_p_carry_defense_a_quality_guard,TradervR1_lab_r08_07_a_attack_tuning_a_local_fair_blend,"pepper_carry_defense,ash_quality_guard",289271.5,1229.0,-573.0,192.0,539.0,1253.08,1253.08,96321.5,16677.5,79644.0,847,96948.0,17641.0,79307.0,829,96002.0,16607.0,79395.0,808,,,,,
48,TradervR1_lab_r10_03_a_quality_guard_p_entry_quality_cmaes_ash_quality_guard,TradervR1_lab_r10_03_a_quality_guard_p_entry_quality,"ash_quality_guard,cmaes_refine",289838.5,1796.0,-6.0,522.0,224.0,1960.78,1238.1412,96657.5,17013.5,79644.0,830,96739.0,17371.0,79368.0,814,96442.0,17051.0,79391.0,788,-0.3333,-5324.0,0.6667,-0.3333,-5324.0
