seed,total_pnl,max_drawdown,own_trade_count
28,-498279.000000,503839.000000,20528
29,-436136.000000,444757.500000,19785
30,-481862.000000,489135.500000,20082
31,-393942.000000,402553.500000,19655
32,-428227.000000,432439.500000,19608
33,-574905.000000,583792.000000,20936
34,-349093.000000,357950.000000,18990
35,-439977.000000,448877.500000,19783
