rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
25,TradervR1_lab_r05_01_p_carry_defense,TradervR1_47,pepper_carry_defense,289832.5,1790.0,-12.0,479.0,287.0,1934.69,1124.0688,96674.5,17013.5,79661.0,830,96696.0,17371.0,79325.0,814,96462.0,17051.0,79411.0,789,-329.9167,-5049.0,0.8333,-329.9167,-5049.0
26,TradervR1_lab_r03_01_a_local_fair_blend,TradervR1_47,ash_local_fair_blend,289117.0,1074.5,-727.5,174.5,329.5,1109.215,1109.215,96304.0,16660.0,79644.0,873,96613.0,17245.0,79368.0,862,96200.0,16803.0,79397.0,838,,,,,
27,TradervR1_lab_r03_02_a_local_fair_blend,TradervR1_lab_r02_08_p_carry_defense,ash_local_fair_blend,288580.5,538.0,-1264.0,-48.0,342.0,493.84,493.84,96081.5,16444.5,79637.0,921,96511.0,17178.0,79333.0,897,95988.0,16593.0,79395.0,881,,,,,
28,TradervR1_lab_r03_04_a_attack_tuning_a_quality_guard_p_entry_quality,TradervR1_lab_r02_04_a_local_fair_blend,"ash_attack_tuning,ash_quality_guard,pepper_entry_quality",289212.0,1169.5,-632.5,279.5,248.5,1247.445,485.6378,96409.0,16766.0,79643.0,790,96745.0,17377.0,79368.0,775,96058.0,16667.0,79391.0,755,-484.9167,-3861.25,0.6667,-484.9167,-3861.25
29,TradervR1_lab_r02_05_a_local_fair_blend,TradervR1_42_O2_1,ash_local_fair_blend,288446.0,403.5,-1398.5,-36.5,284.5,367.965,367.965,96093.0,16449.0,79644.0,704,96409.0,17041.0,79368.0,687,95944.0,16547.0,79397.0,669,,,,,
30,TradervR1_lab_r02_07_a_local_fair_blend_p_entry_quality_a_quality_guard,TradervR1_47_2,"ash_local_fair_blend,pepper_entry_quality,ash_quality_guard",290129.0,2086.5,284.5,571.5,270.5,2264.885,258.1967,96701.0,17058.0,79643.0,734,97059.0,17691.0,79368.0,723,96369.0,16972.0,79397.0,701,-2780.8333,-6388.25,0.0,-2780.8333,-6388.25
31,TradervR1_lab_r02_02_a_local_fair_blend,TradervR1_lab_r01_04_p_carry_defense,ash_local_fair_blend,288264.0,221.5,-1580.5,-6.5,164.5,206.065,206.065,96123.0,16486.0,79637.0,825,96287.0,16919.0,79368.0,810,95854.0,16461.0,79393.0,773,,,,,
32,TradervR1_lab_r03_06_p_entry_quality,TradervR1_34_1,pepper_entry_quality,288032.5,-10.0,-1812.0,-8.0,8.0,-13.44,-13.44,96121.5,16485.5,79636.0,731,96217.0,16849.0,79368.0,708,95694.0,16299.0,79395.0,690,,,,,
33,TradervR1_lab_r01_07_p_entry_quality,TradervR1_42_O2_1,pepper_entry_quality,288008.5,-34.0,-1836.0,-27.0,27.0,-45.61,-45.61,96102.5,16458.5,79644.0,725,96217.0,16849.0,79368.0,708,95689.0,16299.0,79390.0,690,,,,,
34,TradervR1_lab_r05_04_p_carry_defense,TradervR1_42_O2_1,pepper_carry_defense,287999.5,-43.0,-1845.0,-34.0,34.0,-57.62,-57.62,96095.5,16458.5,79637.0,725,96217.0,16849.0,79368.0,708,95687.0,16299.0,79388.0,690,,,,,
35,TradervR1_lab_r01_02_a_local_fair_blend,TradervR1_42_P1_1,ash_local_fair_blend,288064.0,21.5,-1780.5,-205.5,353.5,-78.705,-78.705,95924.0,16280.0,79644.0,779,96296.0,16933.0,79363.0,754,95844.0,16447.0,79397.0,737,,,,,
36,TradervR1_lab_r04_03_p_carry_defense_p_entry_quality_a_local_fair_blend,TradervR1_42_P1_1,"pepper_carry_defense,pepper_entry_quality,ash_local_fair_blend",287975.0,-67.5,-1869.5,-99.0,143.5,-113.63,-113.63,96174.0,16512.0,79662.0,686,96204.0,16895.0,79309.0,657,95597.0,16193.0,79404.0,652,,,,,
37,TradervR1_lab_r04_04_a_quality_guard_a_attack_tuning,TradervR1_42_O2_1,"ash_quality_guard,ash_attack_tuning",287975.5,-67.0,-1869.0,-165.0,259.0,-145.47,-145.47,95964.5,16320.5,79644.0,791,96311.0,16943.0,79368.0,770,95700.0,16303.0,79397.0,760,,,,,
38,TradervR1_lab_r05_08_a_quality_guard_p_carry_defense,TradervR1_42_P1_1,"ash_quality_guard,pepper_carry_defense",287846.5,-196.0,-1998.0,-78.0,27.0,-225.46,-225.46,96078.5,16441.5,79637.0,730,96150.0,16817.0,79333.0,708,95618.0,16223.0,79395.0,687,,,,,
39,TradervR1_lab_r03_07_p_entry_quality_a_quality_guard,TradervR1_42_O2_1,"pepper_entry_quality,ash_quality_guard",287821.5,-221.0,-2023.0,-98.0,66.0,-260.58,-260.58,96031.5,16387.5,79644.0,723,96185.0,16817.0,79368.0,708,95605.0,16223.0,79382.0,687,,,,,
40,TradervR1_lab_r04_08_a_local_fair_blend_a_quality_guard,TradervR1_42_O2_1,"ash_local_fair_blend,ash_quality_guard",287770.5,-272.0,-2074.0,-270.0,373.0,-396.34,-396.34,95859.5,16215.5,79644.0,619,96320.0,16952.0,79368.0,625,95591.0,16194.0,79397.0,600,,,,,
41,TradervR1_lab_r04_05_a_attack_tuning,TradervR1_42_O2_1,ash_attack_tuning,287079.5,-963.0,-2765.0,-338.0,41.0,-1084.58,-1084.58,95801.5,16157.5,79644.0,830,95879.0,16511.0,79368.0,799,95399.0,16002.0,79397.0,793,,,,,
42,TradervR1_lab_r03_05_p_entry_quality_a_local_fair_blend,TradervR1_lab_r02_08_p_carry_defense,"pepper_entry_quality,ash_local_fair_blend",286255.5,-1787.0,-3589.0,-689.0,142.0,-2039.51,-2039.51,95440.5,15789.5,79651.0,962,95666.0,16359.0,79307.0,929,95149.0,15760.0,79389.0,905,,,,,
