rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
1,TradervR1_lab_r04_01_a_local_fair_blend_cmaes_ash_local_fair_blend,TradervR1_lab_r04_01_a_local_fair_blend,"ash_local_fair_blend,cmaes_refine",292738.0,4695.5,2893.5,1335.5,446.5,5127.205,6885.1283,97465.0,17821.0,79644.0,706,97999.0,18631.0,79368.0,704,97274.0,17886.0,79388.0,679,3807.3333,1428.5,1.0,3807.3333,1428.5
2,TradervR1_lab_r04_01_a_local_fair_blend,TradervR1_lab_r03_08_a_attack_tuning_a_quality_guard_p_entry_quality,ash_local_fair_blend,292738.0,4695.5,2893.5,1335.5,446.5,5127.205,6629.0583,97465.0,17821.0,79644.0,706,97999.0,18631.0,79368.0,704,97274.0,17886.0,79388.0,679,3452.5833,613.0,1.0,3452.5833,613.0
3,TradervR1_lab_r05_03_a_local_fair_blend,TradervR1_lab_r04_01_a_local_fair_blend,ash_local_fair_blend,292274.5,4232.0,2430.0,1067.0,635.0,4554.65,6048.2588,97196.5,17552.5,79644.0,734,97919.0,18551.0,79368.0,724,97159.0,17771.0,79388.0,700,3566.0833,271.5,0.8333,3566.0833,271.5
4,TradervR1_lab_r07_06_a_attack_tuning_a_local_fair_blend,TradervR1_lab_r06_05_a_quality_guard_a_local_fair_blend,"ash_attack_tuning,ash_local_fair_blend",290137.0,2094.5,292.5,479.5,395.5,2230.685,3434.2655,96609.0,16965.0,79644.0,831,96957.0,17589.0,79368.0,807,96571.0,17174.0,79397.0,790,2912.5,67.25,0.8333,2912.5,67.25
5,TradervR1_lab_r16_01_a_local_fair_blend_cmaes_ash_local_fair_blend,TradervR1_lab_r16_01_a_local_fair_blend,"ash_local_fair_blend,cmaes_refine",290154.5,2112.0,310.0,547.0,299.0,2279.53,3378.1088,96676.5,17032.5,79644.0,841,97063.0,17695.0,79368.0,810,96415.0,17018.0,79397.0,796,2364.8333,882.0,0.8333,2364.8333,882.0
6,TradervR1_lab_r11_01_a_quality_guard_p_entry_quality,TradervR1_47,"ash_quality_guard,pepper_entry_quality",290302.0,2259.5,457.5,501.5,438.5,2399.945,3274.9922,96631.0,16994.0,79637.0,830,97157.0,17789.0,79368.0,817,96514.0,17117.0,79397.0,792,1811.1667,867.25,0.8333,1811.1667,867.25
7,TradervR1_lab_r03_08_a_attack_tuning_a_quality_guard_p_entry_quality,TradervR1_47,"ash_attack_tuning,ash_quality_guard,pepper_entry_quality",290379.0,2336.5,534.5,521.5,484.5,2480.265,3153.4622,96651.0,17007.0,79644.0,829,97223.0,17855.0,79368.0,814,96505.0,17117.0,79388.0,791,1471.9167,394.75,0.8333,1471.9167,394.75
8,TradervR1_lab_r16_01_a_local_fair_blend,TradervR1_47,ash_local_fair_blend,290154.5,2112.0,310.0,547.0,299.0,2279.53,2919.8438,96676.5,17032.5,79644.0,841,97063.0,17695.0,79368.0,810,96415.0,17018.0,79397.0,796,1784.3333,-732.75,0.8333,1784.3333,-732.75
9,TradervR1_lab_r11_05_p_carry_defense_p_entry_quality,TradervR1_47,"pepper_carry_defense,pepper_entry_quality",289836.5,1794.0,-8.0,522.0,223.0,1958.86,2691.4255,96656.5,17013.5,79643.0,831,96739.0,17371.0,79368.0,814,96441.0,17051.0,79390.0,789,1581.25,511.0,0.8333,1581.25,511.0
10,TradervR1_lab_r09_05_a_local_fair_blend,TradervR1_lab_r08_08_p_carry_defense_a_quality_guard_best,ash_local_fair_blend,290262.5,2220.0,418.0,712.0,54.0,2464.88,2688.7028,96841.5,17204.5,79637.0,803,96983.0,17615.0,79368.0,777,96438.0,17043.0,79395.0,760,647.0833,-416.75,0.6667,647.0833,-416.75
11,TradervR1_lab_r18_03_a_quality_guard,TradervR1_lab_r17_07_a_local_fair_blend,ash_quality_guard,290063.5,2021.0,219.0,624.0,97.0,2231.64,2543.8472,96753.5,17109.5,79644.0,794,96938.0,17570.0,79368.0,773,96372.0,16975.0,79397.0,748,1085.1667,-1078.75,0.8333,1085.1667,-1078.75
12,TradervR1_lab_r18_03_a_quality_guard_cmaes_ash_quality_guard,TradervR1_lab_r18_03_a_quality_guard,"ash_quality_guard,cmaes_refine",290063.5,2021.0,219.0,624.0,97.0,2231.64,2502.2138,96753.5,17109.5,79644.0,794,96938.0,17570.0,79368.0,773,96372.0,16975.0,79397.0,748,1443.0833,-2398.75,0.8333,1443.0833,-2398.75
13,TradervR1_lab_r02_03_a_attack_tuning_a_quality_guard_cmaes_ash_attack_tuning,TradervR1_lab_r02_03_a_attack_tuning_a_quality_guard,"ash_attack_tuning,cmaes_refine",289945.0,1902.5,100.5,438.5,361.5,2027.055,2500.7472,96568.0,16932.0,79636.0,822,96881.0,17513.0,79368.0,802,96496.0,17106.0,79390.0,783,1641.9167,-1516.0,0.8333,1641.9167,-1516.0
14,TradervR1_lab_r07_07_a_local_fair_blend,TradervR1_lab_r06_03_a_attack_tuning,ash_local_fair_blend,290089.0,2046.5,244.5,534.5,249.5,2213.615,2421.1938,96664.0,17027.0,79637.0,777,97001.0,17694.0,79307.0,763,96424.0,17029.0,79395.0,731,1043.8333,-1708.0,0.8333,1043.8333,-1708.0
15,TradervR1_lab_r17_05_p_entry_quality,TradervR1_47_2,pepper_entry_quality,289356.5,1314.0,-488.0,216.0,345.0,1362.0,2382.8633,96345.5,16701.5,79644.0,821,96754.0,17386.0,79368.0,800,96257.0,16867.0,79390.0,786,2166.5833,1130.5,1.0,2166.5833,1130.5
16,TradervR1_lab_r08_08_p_carry_defense_a_quality_guard,TradervR1_lab_r07_03_p_carry_defense,"pepper_carry_defense,ash_quality_guard",289835.5,1793.0,-9.0,521.0,229.0,1957.03,2380.4705,96650.5,17013.5,79637.0,830,96739.0,17371.0,79368.0,814,96446.0,17051.0,79395.0,789,1211.75,-640.75,0.8333,1211.75,-640.75
17,TradervR1_lab_r02_03_a_attack_tuning_a_quality_guard,TradervR1_lab_r01_08_p_carry_defense_a_quality_guard,"ash_attack_tuning,ash_quality_guard",289945.0,1902.5,100.5,438.5,361.5,2027.055,2254.1388,96568.0,16932.0,79636.0,822,96881.0,17513.0,79368.0,802,96496.0,17106.0,79390.0,783,1291.8333,-2277.25,0.8333,1291.8333,-2277.25
18,TradervR1_lab_r17_07_a_local_fair_blend,TradervR1_lab_r16_01_a_local_fair_blend_best,ash_local_fair_blend,290063.5,2021.0,219.0,624.0,97.0,2231.64,2172.7522,96753.5,17109.5,79644.0,794,96938.0,17570.0,79368.0,773,96372.0,16975.0,79397.0,748,676.9167,-2563.0,0.8333,676.9167,-2563.0
