run_id,best_score,elapsed_seconds
1000,-1504.331618277962,4.980878114700317
2000,-997.8456348669713,9.535769939422607
3000,-725.8860852473053,12.983662128448486
4000,-725.8860852473053,15.816220760345459
5000,-725.8860852473053,18.48134708404541
6000,-725.8860852473053,21.13394594192505
7000,-725.8860852473053,23.53710699081421
8000,-725.8860852473053,26.198267936706543
9000,-725.8860852473053,28.83529281616211
10000,-725.8860852473053,31.360760927200317
11000,-725.8860852473053,34.425689935684204
12000,-725.8860852473053,37.82296013832092
13000,-725.8860852473053,41.86125206947327
14000,-725.8860852473053,45.519850969314575
15000,-725.8860852473053,48.86913084983826
16000,-725.8860852473053,52.17634201049805
17000,-725.8860852473053,55.444071769714355
18000,-725.8860852473053,58.69757580757141
19000,-725.8860852473053,62.25102996826172
20000,-725.8860852473053,65.47189092636108
21000,-725.8860852473053,68.35848999023438
22000,-725.8860852473053,70.91073608398438
23000,-725.8860852473053,73.48695015907288
24000,-725.8860852473053,76.09545278549194
25000,-725.8860852473053,78.67174792289734
26000,-725.8860852473053,81.51909589767456
27000,-725.8860852473053,84.21943283081055
28000,-725.8860852473053,86.54894685745239
29000,-725.8860852473053,88.75267195701599
30000,-725.8860852473053,90.5446949005127
31000,-725.8860852473053,92.29813694953918
32000,-725.8860852473053,94.24312901496887
33000,-725.8860852473053,96.05549883842468
34000,-725.8860852473053,97.89555501937866
35000,-725.8860852473053,99.71121001243591
36000,-725.8860852473053,101.47872686386108
37000,-725.8860852473053,103.30167007446289
38000,-725.8860852473053,105.0836169719696
39000,-725.8860852473053,106.82929396629333
40000,-725.8860852473053,108.61926293373108
41000,-725.8860852473053,110.37567901611328
42000,-725.8860852473053,112.14328503608704
43000,-725.8860852473053,113.91857504844666
44000,-725.8860852473053,115.68954014778137
45000,-725.8860852473053,117.4432680606842
46000,-725.8860852473053,119.21141195297241
47000,-725.8860852473053,120.93011808395386
48000,-725.8860852473053,122.68323493003845
49000,-725.8860852473053,124.43062400817871
50000,-725.8860852473053,126.19613003730774
51000,-725.8860852473053,127.96693801879883
