seed,total_pnl,max_drawdown,own_trade_count
28,5745.000000,31391.000000,800
29,9544.000000,29244.000000,809
30,5983.000000,28293.500000,872
31,-24911.000000,45520.000000,1005
32,-25422.500000,47325.500000,1006
33,6132.000000,29715.000000,829
