rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
1,TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,TradervR1_47,"ash_local_fair_blend,ash_attack_tuning",290242.5,2200.0,398.0,613.0,258.0,2393.91,3646.25,96742.5,17098.5,79644.0,819,96933.0,17565.0,79368.0,790,96567.0,17170.0,79397.0,771,2479.5,1611.0,1.0,2479.5,1611.0
2,TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning_cmaes_ash_local_fair_blend,TradervR1_lab_r18_07_a_local_fair_blend_a_attack_tuning,"ash_local_fair_blend,cmaes_refine",290242.5,2200.0,398.0,613.0,258.0,2393.91,3392.0883,96742.5,17098.5,79644.0,819,96933.0,17565.0,79368.0,790,96567.0,17170.0,79397.0,771,1985.5833,1206.75,1.0,1985.5833,1206.75
3,TradervR1_lab_r18_04_a_local_fair_blend,TradervR1_lab_r17_03_p_entry_quality,ash_local_fair_blend,289674.5,1632.0,-170.0,351.0,361.0,1725.97,1934.3278,96480.5,16836.5,79644.0,828,96929.0,17561.0,79368.0,822,96265.0,16877.0,79388.0,791,735.0833,-681.5,0.6667,735.0833,-681.5
4,TradervR1_lab_r18_08_p_entry_quality,TradervR1_47_2,pepper_entry_quality,289363.5,1321.0,-481.0,216.0,352.0,1368.44,1368.44,96345.5,16701.5,79644.0,821,96754.0,17386.0,79368.0,800,96264.0,16867.0,79397.0,786,,,,,
5,TradervR1_lab_r18_02_a_quality_guard_p_carry_defense,TradervR1_lab_r17_01_a_quality_guard,"ash_quality_guard,pepper_carry_defense",289266.5,1224.0,-578.0,216.0,350.0,1271.6,1271.6,96345.5,16701.5,79644.0,821,96659.0,17344.0,79315.0,799,96262.0,16867.0,79395.0,785,,,,,
6,TradervR1_lab_r18_05_p_entry_quality,TradervR1_lab_r17_01_a_quality_guard,pepper_entry_quality,289516.5,1474.0,-328.0,278.0,350.0,1543.3,102.1928,96407.5,16763.5,79644.0,823,96845.0,17477.0,79368.0,806,96264.0,16867.0,79397.0,786,-1330.9167,-6470.25,0.6667,-1330.9167,-6470.25
7,TradervR1_lab_r18_01_p_entry_quality,TradervR1_42_O2_1,pepper_entry_quality,288015.5,-27.0,-1829.0,-27.0,27.0,-38.61,-38.61,96102.5,16458.5,79644.0,725,96217.0,16849.0,79368.0,708,95696.0,16299.0,79397.0,690,,,,,
8,TradervR1_lab_r18_03_a_quality_guard,TradervR1_34_1,ash_quality_guard,287890.5,-152.0,-1954.0,-76.0,44.0,-182.12,-182.12,96085.5,16441.5,79644.0,730,96185.0,16817.0,79368.0,708,95620.0,16223.0,79397.0,688,,,,,
9,TradervR1_lab_r18_06_a_local_fair_blend,TradervR1_42_P1_1,ash_local_fair_blend,287371.5,-671.0,-2473.0,-403.0,357.0,-840.61,-840.61,95726.5,16082.5,79644.0,744,96171.0,16808.0,79363.0,713,95474.0,16077.0,79397.0,694,,,,,
