rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
1,TradervR1_lab_r07_03_p_entry_quality_a_local_fair_blend,TradervR1_47,"pepper_entry_quality,ash_local_fair_blend",290897.5,2855.0,1053.0,802.0,238.0,3116.66,4490.7438,96931.5,17287.5,79644.0,788,97257.0,17889.0,79368.0,755,96709.0,17312.0,79397.0,737,3552.0833,-542.25,0.8333,3552.0833,-542.25
2,TradervR1_lab_r07_05_a_quality_guard_a_local_fair_blend_a_attack_tuning,TradervR1_47,"ash_quality_guard,ash_local_fair_blend,ash_attack_tuning",290524.0,2481.5,679.5,564.5,442.5,2643.675,3368.8172,96694.0,17050.0,79644.0,829,97127.0,17759.0,79368.0,802,96703.0,17306.0,79397.0,793,2262.6667,-1493.5,0.8333,2262.6667,-1493.5
3,TradervR1_lab_r07_01_a_quality_guard,TradervR1_lab_r06_03_a_quality_guard,ash_quality_guard,289930.5,1888.0,86.0,441.0,309.0,2017.63,2898.8505,96570.5,16926.5,79644.0,829,96914.0,17607.0,79307.0,810,96446.0,17051.0,79395.0,788,2139.5,-26.75,0.8333,2139.5,-26.75
4,TradervR1_lab_r07_04_p_entry_quality_a_attack_tuning,TradervR1_47,"pepper_entry_quality,ash_attack_tuning",289525.5,1483.0,-319.0,372.0,302.0,1589.04,1589.04,96501.5,16857.5,79644.0,821,96654.0,17286.0,79368.0,818,96370.0,16973.0,79397.0,791,,,,,
5,TradervR1_lab_r07_02_p_entry_quality,TradervR1_lab_r06_05_a_attack_tuning_p_entry_quality,pepper_entry_quality,289400.0,1357.5,-444.5,295.5,253.5,1440.645,1440.645,96425.0,16781.0,79644.0,817,96766.0,17398.0,79368.0,801,96209.0,16812.0,79397.0,783,,,,,
6,TradervR1_lab_r07_06_a_local_fair_blend,TradervR1_lab_r06_03_a_quality_guard_best,ash_local_fair_blend,288643.0,600.5,-1201.5,158.5,65.5,650.735,650.735,96288.0,16644.0,79644.0,836,96435.0,17128.0,79307.0,821,95920.0,16525.0,79395.0,793,,,,,
7,TradervR1_lab_r07_08_p_entry_quality,TradervR1_42_P1_1,pepper_entry_quality,288042.5,0.0,-1802.0,0.0,0.0,0.0,0.0,96129.5,16485.5,79644.0,730,96217.0,16849.0,79368.0,708,95696.0,16299.0,79397.0,690,,,,,
8,TradervR1_lab_r07_07_a_quality_guard_p_entry_quality,TradervR1_39_4,"ash_quality_guard,pepper_entry_quality",287675.5,-367.0,-2169.0,-224.0,157.0,-457.96,-457.96,95905.5,16261.5,79644.0,720,96150.0,16787.0,79363.0,707,95620.0,16223.0,79397.0,688,,,,,
