rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
1,TradervR1_lab_r13_01_a_quality_guard_a_local_fair_blend,TradervR1_47_2,"ash_quality_guard,ash_local_fair_blend",290013.5,1971.0,169.0,478.0,412.0,2105.34,2855.3188,96607.5,16963.5,79644.0,804,97107.0,17739.0,79368.0,785,96299.0,16902.0,79397.0,771,1883.5833,-233.0,0.8333,1883.5833,-233.0
2,TradervR1_lab_r13_03_p_carry_defense,TradervR1_lab_r12_03_a_attack_tuning_a_local_fair_blend,pepper_carry_defense,290138.0,2095.5,293.5,626.0,179.0,2300.28,2086.5772,96794.0,17164.0,79630.0,700,96843.0,17536.0,79307.0,688,96501.0,17082.0,79419.0,666,498.9167,-3160.25,0.8333,498.9167,-3160.25
3,TradervR1_lab_r13_08_a_attack_tuning,TradervR1_lab_r12_06_a_quality_guard_best,ash_attack_tuning,289367.5,1325.0,-477.0,325.0,198.0,1422.91,1422.91,96454.5,16810.5,79644.0,830,96740.0,17372.0,79368.0,807,96173.0,16776.0,79397.0,789,,,,,
4,TradervR1_lab_r13_04_p_carry_defense,TradervR1_47_2,pepper_carry_defense,289361.5,1319.0,-483.0,216.0,350.0,1366.6,1366.6,96345.5,16701.5,79644.0,821,96754.0,17386.0,79368.0,800,96262.0,16867.0,79395.0,786,,,,,
5,TradervR1_lab_r13_07_a_attack_tuning_a_quality_guard,TradervR1_lab_r12_06_a_quality_guard_best,"ash_attack_tuning,ash_quality_guard",289311.0,1268.5,-533.5,306.5,283.5,1353.095,1353.095,96436.0,16792.0,79644.0,821,96589.0,17221.0,79368.0,812,96286.0,16889.0,79397.0,790,,,,,
6,TradervR1_lab_r13_06_a_local_fair_blend,TradervR1_47,ash_local_fair_blend,289185.5,1143.0,-659.0,216.0,332.0,1192.04,1192.04,96345.5,16701.5,79644.0,857,96596.0,17228.0,79368.0,848,96244.0,16847.0,79397.0,817,,,,,
7,TradervR1_lab_r13_05_a_quality_guard,TradervR1_47_2,ash_quality_guard,289521.5,1479.0,-323.0,278.0,350.0,1548.3,812.7788,96407.5,16763.5,79644.0,823,96845.0,17477.0,79368.0,806,96269.0,16872.0,79397.0,787,-420.1667,-4077.0,0.8333,-420.1667,-4077.0
8,TradervR1_lab_r13_02_a_local_fair_blend,TradervR1_47_2,ash_local_fair_blend,288741.5,699.0,-1103.0,106.0,245.0,716.5,716.5,96235.5,16591.5,79644.0,805,96459.0,17091.0,79368.0,793,96047.0,16650.0,79397.0,786,,,,,
