run_id,profit,graph_final,pepper_pnl,osmium_pnl,pepper_pos,osmium_pos,code_hash,py_len,logic_family
288483,9455.71875,9463.75,7631.0,1824.71875,80,-29,36dfc945,49911,Logic A
288581,9323.6015625,9318.9140625,7565.0,1758.6015625,80,-6,36dfc945,49911,Logic A
274863,9287.8125,9298.03125,7576.0,1711.8125,80,-33,538826f8,54075,Logic B
276842,9278.40625,9283.65625,7614.0,1664.40625,80,-24,f7f8e968,49866,Logic A
276169,9057.71875,9065.75,7556.0,1501.71875,80,-29,538826f8,54075,Logic B
