rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
1,TradervR1_lab_r18_04_p_carry_defense,TradervR1_47,pepper_carry_defense,289781.5,1739.0,-63.0,461.0,289.0,1877.23,3029.0517,96657.5,17013.5,79644.0,830,96678.0,17371.0,79307.0,813,96446.0,17051.0,79395.0,788,2192.4167,1749.25,1.0,2192.4167,1749.25
2,TradervR1_lab_r18_05_a_attack_tuning,TradervR1_lab_r17_05_a_local_fair_blend,ash_attack_tuning,289879.0,1836.5,34.5,268.5,637.5,1879.475,2024.9872,96398.0,16754.0,79644.0,842,97123.0,17755.0,79368.0,832,96358.0,16961.0,79397.0,809,1040.9167,-2143.0,0.8333,1040.9167,-2143.0
3,TradervR1_lab_r18_07_a_quality_guard,TradervR1_47,ash_quality_guard,290021.5,1979.0,177.0,441.0,339.0,2106.23,2019.7278,96570.5,16926.5,79644.0,829,96975.0,17607.0,79368.0,811,96476.0,17079.0,79397.0,791,794.8333,-3055.5,0.6667,794.8333,-3055.5
4,TradervR1_lab_r18_04_p_carry_defense_cmaes_pepper_carry_defense,TradervR1_lab_r18_04_p_carry_defense,"pepper_carry_defense,cmaes_refine",289781.5,1739.0,-63.0,461.0,289.0,1877.23,1824.6545,96657.5,17013.5,79644.0,830,96678.0,17371.0,79307.0,813,96446.0,17051.0,79395.0,788,556.25,-2095.5,0.6667,556.25,-2095.5
5,TradervR1_lab_r18_03_a_attack_tuning_a_quality_guard,TradervR1_lab_r17_05_a_local_fair_blend,"ash_attack_tuning,ash_quality_guard",289699.0,1656.5,-145.5,284.5,450.5,1720.035,1720.035,96414.0,16770.0,79644.0,839,96952.0,17584.0,79368.0,831,96333.0,16936.0,79397.0,809,,,,,
6,TradervR1_lab_r18_08_p_entry_quality_a_local_fair_blend,TradervR1_lab_r17_05_a_local_fair_blend,"pepper_entry_quality,ash_local_fair_blend",289615.0,1572.5,-229.5,219.5,563.5,1604.245,1604.245,96349.0,16705.0,79644.0,842,97000.0,17632.0,79368.0,829,96266.0,16869.0,79397.0,807,,,,,
7,TradervR1_lab_r18_01_a_quality_guard,TradervR1_lab_r17_07_p_carry_defense_p_entry_quality,ash_quality_guard,289500.5,1458.0,-344.0,277.0,351.0,1526.87,1526.87,96406.5,16763.5,79643.0,824,96845.0,17477.0,79368.0,806,96249.0,16867.0,79382.0,785,,,,,
8,TradervR1_lab_r18_06_a_attack_tuning_a_local_fair_blend,TradervR1_34_1,"ash_attack_tuning,ash_local_fair_blend",288658.0,615.5,-1186.5,98.5,257.5,629.375,629.375,96228.0,16584.0,79644.0,638,96573.0,17205.0,79368.0,636,95857.0,16460.0,79397.0,615,,,,,
9,TradervR1_lab_r18_02_p_carry_defense,TradervR1_42_O2_1,pepper_carry_defense,287999.5,-43.0,-1845.0,-28.0,28.0,-55.04,-55.04,96101.5,16458.5,79643.0,726,96217.0,16849.0,79368.0,708,95681.0,16299.0,79382.0,689,,,,,
