rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
1,TradervR1_lab_r01_02_a_local_fair_blend,TradervR1_42_P1_1,ash_local_fair_blend,288049.0,6.5,-1795.5,-178.5,277.5,-78.175,-78.175,95951.0,16307.0,79644.0,769,96316.0,16953.0,79363.0,742,95782.0,16385.0,79397.0,722,,,,,
2,TradervR1_lab_r01_01_a_local_fair_blend,TradervR1_39_4,ash_local_fair_blend,288844.5,802.0,-1000.0,72.0,335.0,800.4,-1135.3795,96201.5,16557.5,79644.0,613,96540.0,17177.0,79363.0,601,96103.0,16706.0,79397.0,592,-2316.0,-6805.1,0.6667,-2316.0,-6805.1
