product,cluster_center,cluster_min,cluster_max,trade_count,extremum_hit_rate,directional_correctness,persistence,cross_day_repeatability,cross_product_repeatability,candidate_score,recommended_mode,buy_at_lows_precision,sell_at_highs_precision,avg_signal_persistence_bars,signal_proxy_pnl,notes
HYDROGEL_PACK,6,5,6,409,0.012224938875305624,0.4,0.48,1.0,0.16666666666666666,2.471116544417278,IGNORE,0.0,0.6666666666666666,24.0,0.0,stable lot cluster 5-6 | repeats across days
HYDROGEL_PACK,3,2,4,613,0.013050570962479609,0.25,0.425,1.0,0.16666666666666666,2.117767808591626,IGNORE,0.16666666666666666,0.5,21.25,0.0,stable lot cluster 2-4 | repeats across days
VELVETFRUIT_EXTRACT,10,10,11,34,0.058823529411764705,1.0,1.0,0.6666666666666666,0.08333333333333333,3.8676470588235294,FOLLOW_AFTER_TRIGGER,1.0,0.0,50.0,0.0,stable lot cluster 10-11 | repeats across days
VELVETFRUIT_EXTRACT,8,7,9,459,0.02178649237472767,0.6,0.63,1.0,0.08333333333333333,2.9569063180827886,BIAS_ONLY,0.6666666666666666,0.0,31.5,0.0,stable lot cluster 7-9 | repeats across days
VELVETFRUIT_EXTRACT,12,12,13,18,0.05555555555555555,1.0,0.4,0.3333333333333333,0.08333333333333333,2.927777777777778,BIAS_ONLY,1.0,0.0,20.0,0.0,stable lot cluster 12-13
VELVETFRUIT_EXTRACT,6,5,6,448,0.017857142857142856,0.25,0.5,1.0,0.16666666666666666,2.202380952380952,IGNORE,0.2857142857142857,0.0,25.0,0.0,stable lot cluster 5-6 | repeats across days
VELVETFRUIT_EXTRACT,4,3,4,402,0.009950248756218905,0.0,0.0,1.0,0.5,1.5199004975124377,IGNORE,0.0,0.0,0.0,0.0,stable lot cluster 3-4 | repeats across products | repeats across days
VELVETFRUIT_EXTRACT,14,14,15,18,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,IGNORE,0.0,0.0,0.0,0.0,stable lot cluster 14-15
VEV_4000,3,3,3,146,0.02054794520547945,0.0,0.0,1.0,0.16666666666666666,1.2077625570776256,IGNORE,0.0,0.0,0.0,0.0,stable lot size 3 | repeats across days
VEV_4000,1,1,2,296,0.006756756756756757,0.0,0.0,0.6666666666666666,0.08333333333333333,0.7635135135135135,IGNORE,0.0,0.0,0.0,0.0,stable lot cluster 1-2 | repeats across days
VEV_5200,2,1,3,24,0.20833333333333334,0.2,0.28,1.0,0.5,2.5966666666666667,IGNORE,1.0,0.0,14.0,0.0,stable lot cluster 1-3 | repeats across products | repeats across days
VEV_5200,5,4,5,23,0.13043478260869565,0.3333333333333333,0.4666666666666666,0.6666666666666666,0.08333333333333333,2.1442028985507244,IGNORE,0.0,0.3333333333333333,23.333333333333332,0.0,stable lot cluster 4-5 | repeats across days
VEV_5300,2,1,3,88,0.045454545454545456,0.5,0.75,0.6666666666666666,0.5,3.0075757575757573,IGNORE,0.0,0.5,37.5,0.0,stable lot cluster 1-3 | repeats across products | repeats across days
VEV_5300,4,4,5,76,0.039473684210526314,0.0,0.6666666666666667,0.6666666666666666,0.5,1.9122807017543861,IGNORE,0.0,0.0,33.333333333333336,0.0,stable lot cluster 4-5 | repeats across products | repeats across days
VEV_5400,4,4,5,141,0.02127659574468085,0.6666666666666666,0.4666666666666666,0.6666666666666666,0.5,3.0092198581560283,BIAS_ONLY,0.0,0.6666666666666666,23.333333333333332,0.0,stable lot cluster 4-5 | repeats across products | repeats across days
VEV_5400,2,2,3,135,0.044444444444444446,0.16666666666666666,0.6666666666666667,1.0,0.5,2.588888888888889,IGNORE,0.0,0.16666666666666666,33.333333333333336,0.0,stable lot cluster 2-3 | repeats across products | repeats across days
VEV_5500,4,4,5,159,0.018867924528301886,0.6666666666666666,0.6666666666666667,0.6666666666666666,0.5,3.2044025157232703,BIAS_ONLY,0.0,0.6666666666666666,33.333333333333336,0.0,stable lot cluster 4-5 | repeats across products | repeats across days
VEV_5500,2,2,3,147,0.02040816326530612,0.0,0.33333333333333337,1.0,0.5,1.8741496598639455,IGNORE,0.0,0.0,16.666666666666668,0.0,stable lot cluster 2-3 | repeats across products | repeats across days
VEV_6000,2,2,3,154,0.01948051948051948,0.0,0.0,1.0,0.5,1.5389610389610389,IGNORE,0.0,0.0,0.0,0.0,stable lot cluster 2-3 | repeats across products | repeats across days
VEV_6000,4,4,5,163,0.0,0.0,0.0,0.0,0.5,0.5,IGNORE,0.0,0.0,0.0,0.0,stable lot cluster 4-5 | repeats across products
VEV_6500,2,2,3,154,0.01948051948051948,0.0,0.0,1.0,0.5,1.5389610389610389,IGNORE,0.0,0.0,0.0,0.0,stable lot cluster 2-3 | repeats across products | repeats across days
VEV_6500,4,4,5,163,0.0,0.0,0.0,0.0,0.5,0.5,IGNORE,0.0,0.0,0.0,0.0,stable lot cluster 4-5 | repeats across products
