rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
1,TradervR1_lab_r12_07_a_local_fair_blend_a_attack_tuning,TradervR1_47_2,"ash_local_fair_blend,ash_attack_tuning",289878.0,1835.5,33.5,417.5,342.5,1954.225,2512.6555,96547.0,16903.0,79644.0,790,96977.0,17609.0,79368.0,772,96354.0,16957.0,79397.0,755,1603.25,-800.25,0.8333,1603.25,-800.25
2,TradervR1_lab_r12_07_a_local_fair_blend_a_attack_tuning_cmaes_ash_local_fair_blend,TradervR1_lab_r12_07_a_local_fair_blend_a_attack_tuning,"ash_local_fair_blend,cmaes_refine",289878.0,1835.5,33.5,417.5,342.5,1954.225,1303.0928,96547.0,16903.0,79644.0,790,96977.0,17609.0,79368.0,772,96354.0,16957.0,79397.0,755,-112.9167,-4495.0,0.6667,-112.9167,-4495.0
3,TradervR1_lab_r12_06_a_local_fair_blend_p_entry_quality,TradervR1_47_2,"ash_local_fair_blend,pepper_entry_quality",289042.5,1000.0,-802.0,301.0,77.0,1099.19,1099.19,96507.5,16864.5,79643.0,763,96518.0,17150.0,79368.0,738,96017.0,16620.0,79397.0,719,,,,,
4,TradervR1_lab_r12_02_a_quality_guard,TradervR1_lab_r11_03_p_entry_quality_p_carry_defense_a_attack_tuning,ash_quality_guard,288842.0,799.5,-1002.5,140.5,239.5,829.515,829.515,96270.0,16601.0,79669.0,817,96496.0,17187.0,79309.0,802,96076.0,16675.0,79401.0,784,,,,,
5,TradervR1_lab_r12_05_p_entry_quality,TradervR1_lab_r11_03_p_entry_quality_p_carry_defense_a_attack_tuning,pepper_entry_quality,288818.5,776.0,-1026.0,181.0,139.0,828.23,828.23,96310.5,16641.5,79669.0,817,96492.0,17183.0,79309.0,804,96016.0,16615.0,79401.0,783,,,,,
6,TradervR1_lab_r12_08_p_entry_quality,TradervR1_lab_r11_04_p_entry_quality,pepper_entry_quality,289363.5,1321.0,-481.0,216.0,352.0,1368.44,656.0662,96345.5,16701.5,79644.0,821,96754.0,17386.0,79368.0,800,96264.0,16867.0,79397.0,786,-404.5833,-3824.25,0.6667,-404.5833,-3824.25
7,TradervR1_lab_r12_04_p_entry_quality_a_quality_guard,TradervR1_42_O2_1,"pepper_entry_quality,ash_quality_guard",287983.5,-59.0,-1861.0,-32.0,32.0,-72.76,-72.76,96102.5,16458.5,79644.0,725,96185.0,16817.0,79368.0,708,95696.0,16299.0,79397.0,690,,,,,
8,TradervR1_lab_r12_03_a_attack_tuning_p_entry_quality,TradervR1_47_2,"ash_attack_tuning,pepper_entry_quality",289389.0,1346.5,-455.5,295.5,253.5,1429.645,-350.4788,96425.0,16781.0,79644.0,817,96766.0,17398.0,79368.0,801,96198.0,16801.0,79397.0,783,-1595.5833,-8062.75,0.6667,-1595.5833,-8062.75
9,TradervR1_lab_r12_01_a_quality_guard_a_local_fair_blend,TradervR1_39_4,"ash_quality_guard,ash_local_fair_blend",287076.5,-966.0,-2768.0,-549.0,400.0,-1190.15,-1190.15,95580.5,15936.5,79644.0,736,96068.0,16705.0,79363.0,708,95428.0,16031.0,79397.0,698,,,,,
