run_id,mean,median,std,score_std_100,score_std_100_sims,mean_ci95_100_sims,p_loss,p05,p01,worst,best,score_p05_10,score_p05_25,score,score_aggressive,score_balanced,score_safe,score_mean_only,positions,AC,AC_45_KO,AC_40_BP,AC_50_CO,AC_50_C_2,AC_50_P_2,AC_35_P,AC_40_P,AC_45_P,AC_50_P,AC_50_C,AC_60_C
326,-23.92615480350332,-282.3913990698842,2177.4788114926214,217.74788114926213,217.74788114926213,435.49576229852426,0.538,-2528.9813558595206,-2950.0791145430517,-3128.9981623591007,14141.107572314379,-276.82429038945537,-656.1714937683835,-512.1472987570625,-204.81219288379486,-512.1472987570625,-873.9193749176457,-23.92615480350332,"{""AC"": 5, ""AC_35_P"": -14, ""AC_40_BP"": -21, ""AC_40_P"": -43, ""AC_45_KO"": -30, ""AC_45_P"": -36, ""AC_50_C"": 17, ""AC_50_CO"": 18, ""AC_50_P"": -6}",5,-30,-21,18,0,0,-14,-43,-36,-6,17,0
327,194.28335275244413,371.36576154994225,2372.137154972663,237.21371549726632,237.21371549726632,474.42743099453264,0.426,-3589.466277696598,-7150.024352495877,-12441.528273026437,6491.794663814697,-164.66327501721568,-703.0832166717054,-462.7434466506787,-44.493390006702356,-462.7434466506787,-940.2969321689717,194.28335275244413,"{""AC"": -100, ""AC_35_P"": 41, ""AC_40_BP"": -47, ""AC_45_KO"": -430, ""AC_45_P"": -4, ""AC_50_C"": 15, ""AC_50_CO"": -3, ""AC_50_C_2"": 50, ""AC_60_C"": 31}",-100,-430,-47,-3,50,0,41,0,-4,0,15,31
328,-393.3940748242644,212.25006463190246,2477.770960830626,247.7770960830626,247.7770960830626,495.5541921661252,0.402,-4153.697649844237,-11839.627062830243,-21344.682755027752,1301.9688414795019,-808.7638398086881,-1431.8184872853237,-1140.337270342431,-663.0232313372419,-1140.337270342431,-1679.5955833683863,-393.3940748242644,"{""AC"": -20, ""AC_35_P"": -22, ""AC_40_BP"": -6, ""AC_45_KO"": -100, ""AC_50_C"": -33, ""AC_50_CO"": -7, ""AC_50_C_2"": -8, ""AC_50_P"": -23, ""AC_50_P_2"": -30}",-20,-100,-6,-7,-8,-30,-22,0,0,-23,-33,0
329,0.20324021785438526,597.0886976446427,4278.0266977228275,427.80266977228274,427.80266977228274,855.6053395445655,0.432,-7097.259463997699,-16132.12385482876,-27293.948507712503,6064.965608164817,-709.5227061819155,-1774.1116257815704,-1278.2870142679417,-461.61040042510126,-1278.2870142679417,-2201.914295553853,0.20324021785438526,"{""AC"": -115, ""AC_35_P"": 40, ""AC_40_BP"": -46, ""AC_40_P"": -1, ""AC_45_KO"": -500, ""AC_50_C"": 12, ""AC_50_CO"": 8, ""AC_50_C_2"": 9, ""AC_60_C"": 12}",-115,-500,-46,8,9,0,40,-1,0,0,12,12
330,219.46232740019192,-796.1539446666493,2669.6384994959953,266.96384994959953,266.96384994959953,533.9276998991991,0.726,-1157.287151817412,-1904.0804206063497,-2120.828126250172,21361.198551395144,103.73361221845072,-69.85946055416107,-87.61267034721965,94.85700732192143,-87.61267034721965,-336.8233105037606,219.46232740019192,"{""AC"": 50, ""AC_40_BP"": -5, ""AC_40_P"": 9, ""AC_45_KO"": -130, ""AC_45_P"": 20, ""AC_50_C"": -7, ""AC_50_CO"": 23, ""AC_50_P_2"": -4, ""AC_60_C"": -3}",50,-130,-5,23,0,-4,0,9,20,0,-7,-3
331,-384.432145135726,2002.7341435763046,7763.194509543678,776.3194509543678,776.3194509543678,1552.6389019087355,0.34,-13883.843079120486,-34052.816729664824,-58003.137803720376,6409.782907274249,-1772.8164530477748,-3855.3929149158475,-2855.168332480983,-1272.7041618303424,-2855.168332480983,-4631.712365870215,-384.432145135726,"{""AC"": -155, ""AC_35_P"": 6, ""AC_40_BP"": -4, ""AC_40_P"": -1, ""AC_45_KO"": -350, ""AC_50_C"": 12, ""AC_50_CO"": -47, ""AC_50_P_2"": 16, ""AC_60_C"": 22}",-155,-350,-4,-47,0,16,6,-1,0,0,12,22
332,179.5650743956075,896.3886879341107,6494.701184307787,649.4701184307787,649.4701184307787,1298.9402368615574,0.424,-10555.796591060478,-21886.535180944567,-37203.48157133977,10116.632205218053,-876.0145847104402,-2459.384073369512,-1728.5394734788536,-510.59228476511106,-1728.5394734788536,-3108.8541918002907,179.5650743956075,"{""AC"": -200, ""AC_35_P"": 50, ""AC_40_BP"": -50, ""AC_45_KO"": -370, ""AC_45_P"": 9, ""AC_50_C"": 12, ""AC_50_CO"": 16, ""AC_50_C_2"": 50, ""AC_60_C"": 37}",-200,-370,-50,16,50,0,50,0,9,0,12,37
333,-42.28896148033929,727.7940149865127,3531.7785879471985,353.17785879471984,353.17785879471984,706.3557175894397,0.438,-5983.723029670184,-13547.088148624305,-22528.458551395146,4409.656308844514,-640.6612644473577,-1538.2197188978853,-1116.4363453282267,-429.7695776625285,-1116.4363453282267,-1891.3975776926052,-42.28896148033929,"{""AC"": -110, ""AC_35_P"": -3, ""AC_40_BP"": -7, ""AC_40_P"": -3, ""AC_45_KO"": -150, ""AC_45_P"": -8, ""AC_50_CO"": 19, ""AC_50_P"": -13, ""AC_60_C"": 28}",-110,-150,-7,19,0,0,-3,-3,-8,-13,0,28
334,-199.50711239046237,267.070162368629,2072.7878075954427,207.27878075954428,207.27878075954428,414.55756151908855,0.234,-3651.0003924647963,-9135.275999147922,-16421.375819107103,2608.695405958013,-564.607151636942,-1112.2572105066615,-850.7965616399539,-433.8768272035883,-850.7965616399539,-1319.5359912662059,-199.50711239046237,"{""AC"": -50, ""AC_35_P"": -7, ""AC_40_BP"": -22, ""AC_40_P"": -13, ""AC_45_KO"": -60, ""AC_50_CO"": -17, ""AC_50_C_2"": 27, ""AC_50_P"": -35, ""AC_50_P_2"": 6}",-50,-60,-22,-17,27,6,-7,-13,0,-35,0,0
335,-281.71795280775075,275.58853227464,2002.4132511515882,200.24132511515882,200.24132511515882,400.48265023031763,0.244,-3634.4658907899657,-10807.15821640584,-17352.28832948509,1101.8060706416154,-645.1645418867473,-1190.334425505242,-927.008498983825,-513.5015786260387,-927.008498983825,-1390.5757506204009,-281.71795280775075,"{""AC"": 5, ""AC_35_P"": 7, ""AC_40_BP"": -19, ""AC_40_P"": 46, ""AC_45_KO"": -460, ""AC_50_CO"": -8, ""AC_50_C_2"": -32, ""AC_50_P"": -41, ""AC_60_C"": -28}",5,-460,-19,-8,-32,0,7,46,0,-41,0,-28
336,166.66927252868805,-1797.0507568139776,7329.894721526159,732.9894721526159,732.9894721526159,1465.9789443052318,0.59,-6740.476305853693,-7474.713734907679,-7851.537414258495,49946.10604781214,-507.3783580566813,-1518.4498039347352,-1210.8969094256736,-353.6019108021506,-1210.8969094256736,-2251.439276087351,166.66927252868805,"{""AC"": 155, ""AC_35_P"": 5, ""AC_40_BP"": -2, ""AC_45_KO"": -470, ""AC_50_C"": 17, ""AC_50_CO"": -35, ""AC_50_C_2"": 8, ""AC_50_P"": -24, ""AC_50_P_2"": 33}",155,-470,-2,-35,8,33,5,0,0,-24,17,0
