seed,total_pnl,max_drawdown,own_trade_count
28,-15915.500000,42951.000000,1014
29,-13922.000000,43225.500000,994
30,-21329.000000,42281.500000,1080
31,439.000000,32988.000000,916
32,-7928.500000,35669.000000,920
33,7808.500000,29961.500000,863
