rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
1,TradervR1_lab_r04_01_a_local_fair_blend,TradervR1_lab_r03_08_a_attack_tuning_a_quality_guard_p_entry_quality,ash_local_fair_blend,292738.0,4695.5,2893.5,1335.5,446.5,5127.205,6517.0822,97465.0,17821.0,79644.0,706,97999.0,18631.0,79368.0,704,97274.0,17886.0,79388.0,679,3317.1667,241.75,0.8333,3317.1667,241.75
2,TradervR1_lab_r04_01_a_local_fair_blend_cmaes_ash_local_fair_blend,TradervR1_lab_r04_01_a_local_fair_blend,"ash_local_fair_blend,cmaes_refine",292738.0,4695.5,2893.5,1335.5,446.5,5127.205,6367.9222,97465.0,17821.0,79644.0,706,97999.0,18631.0,79368.0,704,97274.0,17886.0,79388.0,679,3152.1667,-352.25,0.8333,3152.1667,-352.25
3,TradervR1_lab_r05_03_a_local_fair_blend,TradervR1_lab_r04_01_a_local_fair_blend_best,ash_local_fair_blend,292274.5,4232.0,2430.0,1067.0,635.0,4554.65,5670.0588,97196.5,17552.5,79644.0,734,97919.0,18551.0,79368.0,724,97159.0,17771.0,79388.0,700,2898.8333,-523.5,0.8333,2898.8333,-523.5
4,TradervR1_lab_r07_03_p_entry_quality_a_local_fair_blend,TradervR1_47,"pepper_entry_quality,ash_local_fair_blend",290897.5,2855.0,1053.0,802.0,238.0,3116.66,4490.7438,96931.5,17287.5,79644.0,788,97257.0,17889.0,79368.0,755,96709.0,17312.0,79397.0,737,3552.0833,-542.25,0.8333,3552.0833,-542.25
5,TradervR1_lab_r02_03_a_attack_tuning_a_quality_guard_cmaes_ash_attack_tuning,TradervR1_lab_r02_03_a_attack_tuning_a_quality_guard,"ash_attack_tuning,cmaes_refine",290014.5,1972.0,170.0,406.0,390.0,2082.9,3777.99,96535.5,16898.5,79637.0,827,97013.0,17645.0,79368.0,812,96466.0,17076.0,79390.0,791,3256.5,2553.5,1.0,3256.5,2553.5
6,TradervR1_lab_r07_05_a_quality_guard_a_local_fair_blend_a_attack_tuning,TradervR1_47,"ash_quality_guard,ash_local_fair_blend,ash_attack_tuning",290524.0,2481.5,679.5,564.5,442.5,2643.675,3368.8172,96694.0,17050.0,79644.0,829,97127.0,17759.0,79368.0,802,96703.0,17306.0,79397.0,793,2262.6667,-1493.5,0.8333,2262.6667,-1493.5
7,TradervR1_lab_r12_02_p_entry_quality_a_quality_guard_cmaes_pepper_entry_quality,TradervR1_lab_r12_02_p_entry_quality_a_quality_guard,"pepper_entry_quality,cmaes_refine",289984.5,1942.0,140.0,441.0,317.0,2070.99,3235.7538,96570.5,16926.5,79644.0,829,96975.0,17607.0,79368.0,811,96439.0,17051.0,79388.0,789,2672.8333,474.75,0.8333,2672.8333,474.75
8,TradervR1_lab_r10_02_a_quality_guard_p_entry_quality_cmaes_ash_quality_guard,TradervR1_lab_r10_02_a_quality_guard_p_entry_quality,"ash_quality_guard,cmaes_refine",289838.5,1796.0,-6.0,522.0,224.0,1960.78,3167.795,96657.5,17013.5,79644.0,830,96739.0,17371.0,79368.0,814,96442.0,17051.0,79391.0,788,2389.0,1549.25,1.0,2389.0,1549.25
9,TradervR1_lab_r07_01_a_quality_guard,TradervR1_lab_r06_03_a_quality_guard,ash_quality_guard,289930.5,1888.0,86.0,441.0,309.0,2017.63,2898.8505,96570.5,16926.5,79644.0,829,96914.0,17607.0,79307.0,810,96446.0,17051.0,79395.0,788,2139.5,-26.75,0.8333,2139.5,-26.75
10,TradervR1_lab_r18_07_a_quality_guard_cmaes_ash_quality_guard,TradervR1_lab_r18_07_a_quality_guard,"ash_quality_guard,cmaes_refine",290021.5,1979.0,177.0,441.0,339.0,2106.23,2856.6822,96570.5,16926.5,79644.0,829,96975.0,17607.0,79368.0,811,96476.0,17079.0,79397.0,791,1964.9167,-462.0,0.8333,1964.9167,-462.0
11,TradervR1_lab_r03_08_a_attack_tuning_a_quality_guard_p_entry_quality,TradervR1_47,"ash_attack_tuning,ash_quality_guard,pepper_entry_quality",290379.0,2336.5,534.5,521.5,484.5,2480.265,2710.4028,96651.0,17007.0,79644.0,829,97223.0,17855.0,79368.0,814,96505.0,17117.0,79388.0,791,982.3333,-1329.5,0.6667,982.3333,-1329.5
12,TradervR1_lab_r08_07_p_entry_quality_a_quality_guard_cmaes_pepper_entry_quality,TradervR1_lab_r08_07_p_entry_quality_a_quality_guard,"pepper_entry_quality,cmaes_refine",289930.5,1888.0,86.0,441.0,309.0,2017.63,2685.7738,96570.5,16926.5,79644.0,829,96914.0,17607.0,79307.0,810,96446.0,17051.0,79395.0,788,2002.8333,-1158.25,0.8333,2002.8333,-1158.25
13,TradervR1_lab_r05_01_p_carry_defense,TradervR1_47,pepper_carry_defense,289832.5,1790.0,-12.0,479.0,287.0,1934.69,2653.3538,96674.5,17013.5,79661.0,830,96696.0,17371.0,79325.0,814,96462.0,17051.0,79411.0,789,1525.3333,573.75,0.8333,1525.3333,573.75
14,TradervR1_lab_r15_08_a_local_fair_blend,TradervR1_47,ash_local_fair_blend,290154.5,2112.0,310.0,547.0,299.0,2279.53,2557.6355,96676.5,17032.5,79644.0,841,97063.0,17695.0,79368.0,810,96415.0,17018.0,79397.0,796,1336.0,-2039.0,0.8333,1336.0,-2039.0
15,TradervR1_lab_r08_07_p_entry_quality_a_quality_guard,TradervR1_lab_r07_01_a_quality_guard,"pepper_entry_quality,ash_quality_guard",289930.5,1888.0,86.0,441.0,309.0,2017.63,2455.6395,96570.5,16926.5,79644.0,829,96914.0,17607.0,79307.0,810,96446.0,17051.0,79395.0,788,1776.5,-2113.75,0.6667,1776.5,-2113.75
16,TradervR1_lab_r16_08_a_local_fair_blend_a_quality_guard,TradervR1_47,"ash_local_fair_blend,ash_quality_guard",289373.5,1331.0,-471.0,216.0,434.0,1371.88,2341.6117,96345.5,16701.5,79644.0,888,96867.0,17499.0,79368.0,879,96161.0,16764.0,79397.0,846,2038.4167,1121.75,1.0,2038.4167,1121.75
17,TradervR1_lab_r01_06_p_entry_quality,TradervR1_47,pepper_entry_quality,289830.5,1788.0,-14.0,521.0,224.0,1952.43,2246.4805,96650.5,17013.5,79637.0,830,96739.0,17371.0,79368.0,814,96441.0,17051.0,79390.0,789,1037.5,-1064.25,0.8333,1037.5,-1064.25
18,TradervR1_lab_r10_02_a_quality_guard_p_entry_quality,TradervR1_47,"ash_quality_guard,pepper_entry_quality",289838.5,1796.0,-6.0,522.0,224.0,1960.78,2148.4422,96657.5,17013.5,79644.0,830,96739.0,17371.0,79368.0,814,96442.0,17051.0,79391.0,788,1621.9167,-3498.5,0.8333,1621.9167,-3498.5
19,TradervR1_lab_r06_03_a_quality_guard,TradervR1_lab_r05_07_p_carry_defense_p_entry_quality,ash_quality_guard,289752.5,1710.0,-92.0,461.0,260.0,1850.55,2118.2755,96657.5,17013.5,79644.0,830,96678.0,17371.0,79307.0,813,96417.0,17022.0,79395.0,789,1263.0,-1852.0,0.8333,1263.0,-1852.0
20,TradervR1_lab_r12_02_p_entry_quality_a_quality_guard,TradervR1_47,"pepper_entry_quality,ash_quality_guard",289984.5,1942.0,140.0,441.0,317.0,2070.99,2032.3338,96570.5,16926.5,79644.0,829,96975.0,17607.0,79368.0,811,96439.0,17051.0,79388.0,789,470.3333,-1828.25,0.8333,470.3333,-1828.25
21,TradervR1_lab_r05_07_p_carry_defense_p_entry_quality,TradervR1_47,"pepper_carry_defense,pepper_entry_quality",289781.5,1739.0,-63.0,461.0,289.0,1877.23,1907.3322,96657.5,17013.5,79644.0,830,96678.0,17371.0,79307.0,813,96446.0,17051.0,79395.0,788,598.9167,-1668.5,0.8333,598.9167,-1668.5
22,TradervR1_lab_r15_02_a_quality_guard_a_local_fair_blend,TradervR1_47,"ash_quality_guard,ash_local_fair_blend",290392.0,2349.5,547.5,703.5,168.5,2582.245,1792.8412,96833.0,17189.0,79644.0,689,96991.0,17623.0,79368.0,676,96568.0,17171.0,79397.0,669,-328.8333,-4865.75,0.6667,-328.8333,-4865.75
23,TradervR1_lab_r02_03_a_attack_tuning_a_quality_guard,TradervR1_lab_r01_06_p_entry_quality,"ash_attack_tuning,ash_quality_guard",290014.5,1972.0,170.0,406.0,390.0,2082.9,1787.6705,96535.5,16898.5,79637.0,827,97013.0,17645.0,79368.0,812,96466.0,17076.0,79390.0,791,527.5,-3824.25,0.8333,527.5,-3824.25
24,TradervR1_lab_r06_06_p_carry_defense,TradervR1_47,pepper_carry_defense,289770.5,1728.0,-74.0,443.0,307.0,1858.49,1771.0672,96664.5,17013.5,79651.0,830,96660.0,17371.0,79289.0,813,96446.0,17051.0,79395.0,788,491.6667,-2195.25,0.8333,491.6667,-2195.25
25,TradervR1_lab_r02_04_a_local_fair_blend,TradervR1_47_2,ash_local_fair_blend,289699.5,1657.0,-145.0,364.0,359.0,1755.68,1755.68,96493.5,16849.5,79644.0,790,96940.0,17572.0,79368.0,776,96266.0,16869.0,79397.0,756,,,,,
26,TradervR1_lab_r10_08_p_entry_quality,TradervR1_47,pepper_entry_quality,289818.5,1776.0,-26.0,522.0,205.0,1942.3,1724.5945,96656.5,17013.5,79643.0,831,96739.0,17371.0,79368.0,814,96423.0,17051.0,79372.0,789,329.75,-2649.0,0.6667,329.75,-2649.0
27,TradervR1_lab_r16_07_p_carry_defense,TradervR1_47,pepper_carry_defense,289836.5,1794.0,-8.0,522.0,223.0,1958.86,1707.4922,96656.5,17013.5,79643.0,831,96739.0,17371.0,79368.0,814,96441.0,17051.0,79390.0,789,339.4167,-2969.0,0.8333,339.4167,-2969.0
28,TradervR1_lab_r09_06_p_carry_defense_a_quality_guard,TradervR1_lab_r08_04_p_entry_quality_a_attack_tuning,"pepper_carry_defense,ash_quality_guard",289479.5,1437.0,-365.0,372.0,231.0,1548.72,1692.7055,96501.5,16857.5,79644.0,831,96820.0,17513.0,79307.0,814,96158.0,16763.0,79395.0,793,1185.0,-2357.0,0.8333,1185.0,-2357.0
29,TradervR1_lab_r06_03_a_quality_guard_cmaes_ash_quality_guard,TradervR1_lab_r06_03_a_quality_guard,"ash_quality_guard,cmaes_refine",289752.5,1710.0,-92.0,461.0,260.0,1850.55,1639.6355,96657.5,17013.5,79644.0,830,96678.0,17371.0,79307.0,813,96417.0,17022.0,79395.0,789,677.5,-3598.0,0.8333,677.5,-3598.0
30,TradervR1_lab_r11_08_a_local_fair_blend_p_carry_defense,TradervR1_lab_r10_02_a_quality_guard_p_entry_quality_best,"ash_local_fair_blend,pepper_carry_defense",289834.0,1791.5,-10.5,556.0,87.0,1979.14,1634.0572,96722.0,17079.0,79643.0,768,96773.0,17405.0,79368.0,743,96339.0,16949.0,79390.0,719,300.6667,-3526.25,0.8333,300.6667,-3526.25
31,TradervR1_lab_r07_04_p_entry_quality_a_attack_tuning,TradervR1_47,"pepper_entry_quality,ash_attack_tuning",289525.5,1483.0,-319.0,372.0,302.0,1589.04,1589.04,96501.5,16857.5,79644.0,821,96654.0,17286.0,79368.0,818,96370.0,16973.0,79397.0,791,,,,,
32,TradervR1_lab_r03_03_a_local_fair_blend_p_entry_quality,TradervR1_lab_r02_04_a_local_fair_blend,"ash_local_fair_blend,pepper_entry_quality",289492.5,1450.0,-352.0,303.0,307.0,1531.49,1583.3272,96432.5,16795.5,79637.0,809,96754.0,17386.0,79368.0,799,96306.0,16911.0,79395.0,773,597.9167,-1345.25,0.8333,597.9167,-1345.25
33,TradervR1_lab_r18_07_a_quality_guard,TradervR1_47,ash_quality_guard,290021.5,1979.0,177.0,441.0,339.0,2106.23,1581.6422,96570.5,16926.5,79644.0,829,96975.0,17607.0,79368.0,811,96476.0,17079.0,79397.0,791,254.6667,-4683.0,0.8333,254.6667,-4683.0
34,TradervR1_lab_r08_04_p_entry_quality_a_attack_tuning,TradervR1_47,"pepper_entry_quality,ash_attack_tuning",289354.5,1312.0,-490.0,325.0,207.0,1409.19,1560.4288,96454.5,16810.5,79644.0,830,96749.0,17381.0,79368.0,809,96151.0,16763.0,79388.0,794,845.5833,-1264.0,0.8333,845.5833,-1264.0
35,TradervR1_lab_r12_01_a_quality_guard,TradervR1_47_2,ash_quality_guard,289516.5,1474.0,-328.0,278.0,350.0,1543.3,1543.3,96407.5,16763.5,79644.0,823,96845.0,17477.0,79368.0,806,96264.0,16867.0,79397.0,786,,,,,
36,TradervR1_lab_r01_08_p_carry_defense_a_quality_guard,TradervR1_47_2,"pepper_carry_defense,ash_quality_guard",289506.5,1464.0,-338.0,270.0,358.0,1529.86,1529.86,96399.5,16763.5,79636.0,824,96845.0,17477.0,79368.0,806,96262.0,16872.0,79390.0,787,,,,,
37,TradervR1_lab_r01_03_p_entry_quality_a_quality_guard,TradervR1_47_2,"pepper_entry_quality,ash_quality_guard",289500.5,1458.0,-344.0,277.0,351.0,1526.87,1526.87,96406.5,16763.5,79643.0,824,96845.0,17477.0,79368.0,806,96249.0,16867.0,79382.0,785,,,,,
38,TradervR1_lab_r02_06_p_carry_defense,TradervR1_lab_r01_08_p_carry_defense_a_quality_guard,pepper_carry_defense,289499.5,1457.0,-345.0,264.0,364.0,1520.28,1520.28,96393.5,16763.5,79630.0,823,96845.0,17477.0,79368.0,806,96261.0,16872.0,79389.0,786,,,,,
