run_id,search_score,search_mean,search_std,search_official_p05_hat,search_official_p01_hat,positions
10982,300.4212039997749,192.28748257875108,641.4891484057536,86.77190733822958,43.05479091735165,"{""AC"": -65, ""AC_35_P"": 50, ""AC_40_BP"": -40, ""AC_40_P"": -40, ""AC_45_KO"": -260, ""AC_45_P"": -40, ""AC_50_C"": 45, ""AC_50_CO"": -20, ""AC_50_C_2"": 42, ""AC_50_P"": -25, ""AC_50_P_2"": 44, ""AC_60_C"": 23}"
23210,298.03615135097635,196.08691479498324,677.5384016719353,84.64176505608462,38.467912763929654,"{""AC"": -60, ""AC_35_P"": 40, ""AC_40_BP"": -50, ""AC_40_P"": -50, ""AC_45_KO"": -260, ""AC_45_P"": -5, ""AC_50_C"": 47, ""AC_50_CO"": -20, ""AC_50_C_2"": 38, ""AC_50_P"": -25, ""AC_50_P_2"": 48, ""AC_60_C"": 21}"
47603,296.05680765887485,201.7136338194783,726.5633437430351,82.20459870290624,32.68972481221686,"{""AC"": -70, ""AC_35_P"": 46, ""AC_40_BP"": -50, ""AC_40_P"": -35, ""AC_45_KO"": -270, ""AC_45_P"": -50, ""AC_50_C"": 50, ""AC_50_CO"": -16, ""AC_50_C_2"": 40, ""AC_50_P"": -10, ""AC_50_P_2"": 50, ""AC_60_C"": 24}"
48970,295.8750053267831,203.94121771798487,744.28154359647,81.5177980722155,30.795439054636564,"{""AC"": -55, ""AC_35_P"": 41, ""AC_40_BP"": -50, ""AC_40_P"": -45, ""AC_45_KO"": -280, ""AC_45_P"": -25, ""AC_50_C"": 42, ""AC_50_CO"": -20, ""AC_50_C_2"": 42, ""AC_50_P"": -20, ""AC_50_P_2"": 48, ""AC_60_C"": 20}"
18660,294.465721986923,168.78688848063908,476.6819911805739,90.37967827105744,57.894074802990794,"{""AC"": -70, ""AC_35_P"": 42, ""AC_40_BP"": -50, ""AC_40_P"": -40, ""AC_45_KO"": -280, ""AC_45_P"": -45, ""AC_50_C"": 47, ""AC_50_CO"": -12, ""AC_50_C_2"": 28, ""AC_50_P"": -25, ""AC_50_P_2"": 48, ""AC_60_C"": 22}"
36378,294.34323461646983,204.84311542975863,755.5512144815103,80.56599988100841,29.07561927595491,"{""AC"": -65, ""AC_35_P"": 50, ""AC_40_BP"": -45, ""AC_40_P"": -25, ""AC_45_KO"": -230, ""AC_45_P"": -10, ""AC_50_C"": 35, ""AC_50_CO"": -20, ""AC_50_C_2"": 50, ""AC_50_P"": -25, ""AC_50_P_2"": 40, ""AC_60_C"": 26}"
22734,293.39626618499506,174.27223056844835,522.058959068402,88.40117333783125,52.82315561317324,"{""AC"": -65, ""AC_35_P"": 50, ""AC_40_BP"": -50, ""AC_40_P"": -50, ""AC_45_KO"": -240, ""AC_45_P"": -10, ""AC_50_C"": 40, ""AC_50_CO"": -20, ""AC_50_C_2"": 30, ""AC_50_P"": -25, ""AC_50_P_2"": 46, ""AC_60_C"": 28}"
55830,291.1277854996155,165.25537336315122,458.77819510869676,89.79307554407222,58.527605478410145,"{""AC"": -60, ""AC_35_P"": 48, ""AC_40_BP"": -45, ""AC_40_P"": -50, ""AC_45_KO"": -270, ""AC_45_P"": -30, ""AC_50_C"": 35, ""AC_50_CO"": -14, ""AC_50_C_2"": 34, ""AC_50_P"": -20, ""AC_50_P_2"": 40, ""AC_60_C"": 20}"
5669,290.4573023584666,202.32939088520018,747.0489100934215,79.45077995746935,28.53982650516438,"{""AC"": -60, ""AC_35_P"": 50, ""AC_40_BP"": -50, ""AC_40_P"": -20, ""AC_45_KO"": -260, ""AC_45_P"": -40, ""AC_50_C"": 36, ""AC_50_CO"": -14, ""AC_50_C_2"": 44, ""AC_50_P"": -15, ""AC_50_P_2"": 46, ""AC_60_C"": 21}"
45156,289.4064250239724,167.3876087665324,480.0844681470334,88.42074089906073,55.70326058314449,"{""AC"": -50, ""AC_35_P"": 50, ""AC_40_BP"": -40, ""AC_40_P"": -50, ""AC_45_KO"": -250, ""AC_45_P"": -25, ""AC_50_C"": 40, ""AC_50_CO"": -20, ""AC_50_C_2"": 24, ""AC_50_P"": -10, ""AC_50_P_2"": 50, ""AC_60_C"": 20}"
