rank,name,parent,families,deterministic_total,delta_vs_safe,delta_vs_attack,min_day_delta_vs_safe,daily_delta_range_vs_safe,deterministic_score,composite_score,day_-2,ash_-2,pepper_-2,trades_-2,day_-1,ash_-1,pepper_-1,trades_-1,day_0,ash_0,pepper_0,trades_0,mc_mean_delta,mc_p10_delta,mc_win_rate,mc_plausible_mean_delta,mc_plausible_p10_delta
45,TradervR1_lab_r04_04_p_entry_quality_a_attack_tuning,TradervR1_47_2,"pepper_entry_quality,ash_attack_tuning",289435.0,1392.5,-409.5,301.5,260.5,1477.185,1477.185,96431.0,16787.0,79644.0,815,96746.0,17378.0,79368.0,799,96258.0,16861.0,79397.0,785,,,,,
46,TradervR1_lab_r13_07_p_entry_quality_a_quality_guard,TradervR1_lab_r12_03_a_quality_guard_best,"pepper_entry_quality,ash_quality_guard",289784.5,1742.0,-60.0,497.0,226.0,1897.87,1432.4295,96626.5,16982.5,79644.0,827,96739.0,17371.0,79368.0,814,96419.0,17022.0,79397.0,790,-324.0,-2531.25,0.6667,-324.0,-2531.25
47,TradervR1_lab_r13_02_a_quality_guard,TradervR1_lab_r12_04_p_carry_defense_a_attack_tuning,ash_quality_guard,289388.0,1345.5,-456.5,300.5,292.5,1427.275,1427.275,96430.0,16787.0,79643.0,816,96810.0,17442.0,79368.0,800,96148.0,16766.0,79382.0,780,,,,,
48,TradervR1_lab_r11_02_a_quality_guard_p_entry_quality,TradervR1_lab_r10_07_a_quality_guard,"ash_quality_guard,pepper_entry_quality",289644.5,1602.0,-200.0,346.0,398.0,1691.26,1424.2228,96475.5,16831.5,79644.0,823,96729.0,17361.0,79368.0,816,96440.0,17043.0,79397.0,791,254.0833,-2685.75,0.6667,254.0833,-2685.75
49,TradervR1_lab_r12_04_p_carry_defense_a_attack_tuning,TradervR1_47_2,"pepper_carry_defense,ash_attack_tuning",289371.0,1328.5,-473.5,300.5,248.5,1413.795,1413.795,96430.0,16787.0,79643.0,816,96766.0,17398.0,79368.0,801,96175.0,16793.0,79382.0,783,,,,,
50,TradervR1_lab_r15_06_a_local_fair_blend,TradervR1_lab_r14_01_a_attack_tuning_a_quality_guard,ash_local_fair_blend,289354.5,1312.0,-490.0,294.0,226.0,1396.82,1396.82,96423.5,16779.5,79644.0,855,96715.0,17347.0,79368.0,828,96216.0,16819.0,79397.0,816,,,,,
51,TradervR1_lab_r16_04_p_carry_defense,TradervR1_lab_r15_06_a_local_fair_blend,pepper_carry_defense,289354.5,1312.0,-490.0,294.0,226.0,1396.82,1396.82,96423.5,16779.5,79644.0,855,96715.0,17347.0,79368.0,828,96216.0,16819.0,79397.0,816,,,,,
52,TradervR1_lab_r01_01_a_attack_tuning,TradervR1_47_2,ash_attack_tuning,289354.0,1311.5,-490.5,279.5,237.5,1390.325,1390.325,96409.0,16765.0,79644.0,815,96734.0,17366.0,79368.0,804,96211.0,16814.0,79397.0,782,,,,,
53,TradervR1_lab_r02_05_a_quality_guard,TradervR1_lab_r01_01_a_attack_tuning,ash_quality_guard,289354.0,1311.5,-490.5,279.5,237.5,1390.325,1390.325,96409.0,16765.0,79644.0,815,96734.0,17366.0,79368.0,804,96211.0,16814.0,79397.0,782,,,,,
54,TradervR1_lab_r06_04_a_attack_tuning,TradervR1_47_2,ash_attack_tuning,289354.0,1311.5,-490.5,279.5,237.5,1390.325,1390.325,96409.0,16765.0,79644.0,815,96734.0,17366.0,79368.0,804,96211.0,16814.0,79397.0,782,,,,,
55,TradervR1_lab_r15_08_a_attack_tuning,TradervR1_47,ash_attack_tuning,289336.5,1294.0,-508.0,319.0,198.0,1389.81,1389.81,96448.5,16804.5,79644.0,828,96734.0,17366.0,79368.0,813,96154.0,16757.0,79397.0,787,,,,,
56,TradervR1_lab_r04_05_a_attack_tuning_p_carry_defense,TradervR1_lab_r03_05_p_entry_quality_a_local_fair_blend,"ash_attack_tuning,pepper_carry_defense",289332.5,1290.0,-512.0,336.0,245.0,1388.0,1388.0,96465.5,16821.5,79644.0,828,96590.0,17283.0,79307.0,813,96277.0,16882.0,79395.0,787,,,,,
57,TradervR1_lab_r12_03_a_quality_guard_cmaes_ash_quality_guard,TradervR1_lab_r12_03_a_quality_guard,"ash_quality_guard,cmaes_refine",289815.5,1773.0,-29.0,522.0,201.0,1939.62,1387.4372,96657.5,17013.5,79644.0,830,96739.0,17371.0,79368.0,814,96419.0,17022.0,79397.0,790,-96.8333,-3859.25,0.8333,-96.8333,-3859.25
58,TradervR1_lab_r14_06_p_carry_defense,TradervR1_lab_r13_07_p_entry_quality_a_quality_guard,pepper_carry_defense,289768.5,1726.0,-76.0,496.0,212.0,1882.64,1379.0278,96625.5,16982.5,79643.0,828,96739.0,17371.0,79368.0,814,96404.0,17022.0,79382.0,789,-381.6667,-2630.0,0.6667,-381.6667,-2630.0
59,TradervR1_lab_r16_07_a_attack_tuning,TradervR1_lab_r15_01_a_local_fair_blend,ash_attack_tuning,289529.0,1486.5,-315.5,396.5,157.5,1612.675,1376.0788,96526.0,16882.0,79644.0,794,96753.0,17385.0,79368.0,776,96250.0,16853.0,79397.0,755,299.3333,-2573.25,0.8333,299.3333,-2573.25
60,TradervR1_lab_r13_08_p_entry_quality,TradervR1_47_2,pepper_entry_quality,289363.5,1321.0,-481.0,216.0,352.0,1368.44,1368.44,96345.5,16701.5,79644.0,821,96754.0,17386.0,79368.0,800,96264.0,16867.0,79397.0,786,,,,,
61,TradervR1_lab_r18_08_p_entry_quality,TradervR1_47_2,pepper_entry_quality,289363.5,1321.0,-481.0,216.0,352.0,1368.44,1368.44,96345.5,16701.5,79644.0,821,96754.0,17386.0,79368.0,800,96264.0,16867.0,79397.0,786,,,,,
62,TradervR1_lab_r12_05_p_entry_quality_p_carry_defense,TradervR1_47_2,"pepper_entry_quality,pepper_carry_defense",289354.5,1312.0,-490.0,216.0,343.0,1360.16,1360.16,96345.5,16701.5,79644.0,821,96754.0,17386.0,79368.0,800,96255.0,16867.0,79388.0,786,,,,,
